EventId,Text,Label
196107421,"WHILE DESCENDING INTO ATL PASSING THROUGH 18,000 FT, A DUAL AUTO PRESSURIZATION INOP INDICATION OCCURRED. THE QRH WAS FOLLOWED AND MANUAL CABIN PRESSURIZATION WAS SELECTED BUT CABIN ALTITUDE CONTINUED TO CLIMB. AN EMERGENCY WAS DECLARED ANDTHE AIRCRAFT WAS DESCENDED BELOW 10,000 FT. THE MASKS DID NOT DEPLOY. THE FLOW LIGHT ILLUMINATED ABOUT SAME TIME AS THEINOP LIGHTS DID. MAINTENANCE TESTED BOTH CABIN PRESSURE CONTROLLERS AND FOUND AN ""AC MOTOR"" FAULT. THE CABIN AIR OUTFLOW VALVE DRIVE ACTUATOR ASSEMBLY WAS REPLACED PER AMM 21-32-05 AND THE CONTROLLERS TESTED OK. A PACK CONFIDENCE CHECK WASPERFORMED AND CHECKED GOOD. THE AIRCRAFT WAS RETURNED TO SERVICE. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  CABIN DEPRESSURIZATION Part Name: ACTUATOR Part Condition: FAULTY",Yes
192197421,"EMERGENCY DECLARED, THE LEFT HYDRAULIC RESEVOIR QTY LOW. FOUND A HYD LEAK ON FLAP STALL DEPRESSURIZATION MODULE ASSY CONNECTOR.  R & R THE O-RING IAW AMM 20-10-19-404-001. SERVICED THE LT HYD SYS IAW AMM 12-12-01-301.  LEAK CHECKED GOOD.  NO LEAKS NOTED IAW AMM 29-11-00-201, CONDITION 3, STEPS 1, 2, 3.  NO DEFECTS FOUND. Nature of Condition:  WARNING INDICATION, FLUID LOSS Precautionary Procedure:  OTHER Part Name: O-RING Part Condition: LEAKING",Yes
196197521,"AIRCRAFT WAS GROUNDED. EMERGENCY DECLARED. DURING DESCENT A RAPID DEPRESSURIZATION WITH LOSS OF BOTH PACKS WAS REPORTEDACCOMPANIED BY WARNINGS FOR AUTO THROTTLES, AUTO PILOT, AIRSPEED INDICATOR AND MACH TRIM.  REMOVED AND REPLACED CENTRALAIR DATA COMPUTER NR 1 IAW AMM 34-16-01.  LEAK AND OPS CHECKED IAW AMM 30-30-00, 34-11-02, 22-01-05, AND 21-32-03 SATISFACTORY. Nature of Condition:  MULTIPLE FAILURE Precautionary Procedure:  OTHER Part Name: ADC Part Condition: MALFUNCTIONED",Yes
196197411,RAPID DEPRESSURIZATION AT FL 390 PRESSURE CONTROLLER BLANKED. MASKS DEPLOYED. NO AUTO FAIL LIGHT. DIVERTED AND DECLAREDAN EMERGENCY.   R & R THE CABIN PRESSURE SELECTOR PANEL IAW AMM. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  UNSCHED LANDING Part Name: SELECTOR PANEL Part Condition: FAILED,Yes
196197419,"AFTER ENGINE START RIGHT PACK LIGHT ILLUMINATED. EXTINGUISHED WITH MASTER CAUTION RESET. GROUNDED - YES. ACCOMPLISHED PACK TEMP CONTROL BITE REF FIM 21-62 TASK 801. FOUND TCV PACK LAST LEG. ACCOMPLISHED VERIFY, NO CURRENT FAULTS. RESET FAULT, RT PACK TEMP CONTROL OPS NORMAL. CLEARS MEL 21-32B. GROUND VERIFICATION ACCOMPLISHED NORMAL. Nature of Condition:  FALSE WARNING Precautionary Procedure:  NONE Part Name: WARNING SYSTEM Part Condition: FALSE ACTIVATION",No
196197420,"WHILE ACCOMPLISHING NR 1 ENG INLET INSP T/C 78472000, FOUND AFT O/B LWR FASTENER LOOSE ON 3 O'CLOCK STRUT FAIRING. GROUNDED - YES. REMOVED STRUT FAIRING TO ALLOW ACCESS TO NUTPLATES. REMOVED & REPLACED NUTPLATE REF B737-800 SRM 51-40-02. REINSTALLED STRUT FAIRING REF AMM 72-23-03-000-802-F00 & AMM 72-23-03-400-802-F00. Nature of Condition:  OTHER Precautionary Procedure:  NONE Part Name: NUT PLATE Part Condition: LOOSE",No
196197421,WHILE ACCOMPLISH T/C 78472000 FOUND FRONT SPINNER CONE 50% MISSING WHITE SPIRAL - SHAPE MARK WHITE ANTI EROSION PAINT. GROUNDED - YES. REMOVED & REPLACED FRONT SPINNER CONE REF AMM 72-21-01. Nature of Condition:  OTHER Precautionary Procedure:  NONE Part Name: SPINNER Part Condition: WORN,No
196777952,FAILURE OF REAR IP/LP COMPRESSOR BEARING. Nature of Condition:  OTHER Precautionary Procedure:  OTHER Part Name: BEARING Part Condition: FAILED,No
196197422,"R1 SLIDE LIGHT INOP. GROUNDED - YES. RELAMPED R1 SLIDE LIGHT REF AMM 33-51-04, OPS TEST GOOD. Nature of Condition:  OTHER Precautionary Procedure:  NONE Part Name: LIGHT Part Condition: INOPERATIVE",No
196197423,"WHILE ACCOMPLISHING NR 1 ENG INLET INSP T/C 78472000, FOUND DUCT ATTACH LINK WORN. (2ND LINK ABOVE THE HIGH STAGE VALVE). GROUNDED - YES. REMOVED & REPLACED DUCT ATTACHMENT & HARDWARE REF IPC 36-11-01-02. Nature of Condition:  OTHER Precautionary Procedure:  NONE Part Name: LINK Part Condition: WORN",No
