Id,Text,Label
1,"flight control column had an abnormal vibration at 10k, 250-310kts. excessive vibration worsening with airspeed. emergency declared. inspected and found the nr 7 and 8 right elevator attach hinge bearing plates to have some play. removedand replaced the elevator attach hinge bearing plates iaw amm 27-31-11. elevator checked good at this time. nature of condition : vibration buffet, flight cont affected precautionary procedure : unsched landing part name : bearing part condition : worn",Yes
2,"approximately 30 minutes after takeoff, the flight advised the maintenance coordinator that they felt an airframe vibration. maintenance suspected it could be an open panel. the flight is returning to departure for inspection. nature of condition : vibration buffet precautionary procedure : unsched landing part name : unknown part condition : vibration",Yes
3,"air turn back - heavy vibration climbing out of 7000 ft and got worse w as we accelerated above 10,000 ft, vibration was felt in both control center olumn s and floor. slowed to 290 0.78 and vibration decreased. appears less vibration in descent cw airframe conditional insp per m m 05-51-38-202-001 ( b ) ( 3 ). no defects found. nose radome upper seal torn at right end. repaired per eo b767-5350-75451-1a. remove and replace worn right aft nose landing gear door 2 ea forward seal & inboard seal per amm 32-22-04. remove and replace torn left aft nose landing gear per door forward seal per amm 3 2-22-00.",Yes
4,"air turn back declared emergency, after vi, takeoff decision speed, high speed violent shake prior to rotation. main landing gear tire blown. right & right nr 2 main landing gear wheel assembly per amm. nature of condition : vibration buffet precautionary procedure : unsched landing part name : tire part condition : blown",Yes
5,"air turn back declared emergency, after vi, takeoff decision speed, high speed violent shake prior to rotation. main landing gear tire blown. right & right nr 1 main landing gear wheel assembly per amm. nature of condition : vibration buffet precautionary procedure : unsched landing part name : tire part condition : blown",Yes
6,"during climb out, the right engine had a vibration the reached 3.1 with throttle vibration. engine indications were norm al, during cruise, the vibration was 2.3 and in descent it was 2.6 with no unusual noise or vibration. emergency declared, and landed saftely without further incident. the aircraft was grounded. maintenance troubleshot and the engine was declared within limits iaw amm 71-00-00. performed a satisfactory operational check.",Yes
7,"during level flight, detected a sudden medium frequency vibration. airspeed was reduced and vibration stopped. found the number 11 krueger flap outboard seal panel under left wing at approximately ws 614 to 642 leading edge area to be missing. performed airframe vibration conditional inspection iaw amm 05-51-38 and part departed airplane conditional inspection iaw amm 05-51-58. applied interim repair iaw instructions provided in service request id 3-4071766604. nature of condition : vibration buffet precautionary procedure : other part name : closeout panel part condition : missing",Yes
8,"during takeoff, the nr 11 tire blew, no airframe vibrations or abnormal aircraft indications. flight continued to destination and will declared an emergency on arrival. inspected right main landing gear body gear. nature of condition : other precautionary procedure : other part name : tire part condition : failed",Yes
9,"approximately 50 min into flight, slight vibration felt in airframe. vibration felt every 5 to 6 mins. lasting approx.15 second s. no eicas or status messages asscociated. no high vibration indication on engine. the outflow valve appears to be moving and seems to coincide with the vibration. vibration was the same @ fl400, fl380 and fl360. during instrument landing system app. no autoland display layed on asa. found forward cargo bay heat distribution duct disconnected, reconnected duct, replaced all scrivets and clamps. performed flow test as per amm 21-00-00, performed functional check of outflow valve, all checks good as per amm 21-3 0-00.lp 1232590, item m8 : removed left acm iaw amm 21-51-03. installed left acm iaw amm 21-51-03, operation check good. sn off :",Yes
10,this aircraft requires inspection and or maintenance action by a certified technician to determine that it is in a condition for safe flight as intended per the ferry permit. system generated mfd approval log inspected aircraft and determin ed to be safe for ferry flight from pdx to sfo. air return back to pdx due to vibration on climbout in the nose landing gear area. a center will land over weight. found the right nose landing gear door link broken.,Yes
11,"on climb out passing 10,000 ft, aircraft developed loud air frame noise and vibration on acceleration to 310 knots. return to airport uneventful, on arrival found right aircraft pack door open, landing uneventful. operation check good.",Yes
12,"the aircraft nr 1 powerplant outboard core cowl separated upon the takeoff phase of flight. the pilots noticed a abnorma left vibration after v1 speed and returned to the departure airport. damage was sustained to the nacelle cowl area, the powerplant and flap system. the malfunction is pending investigation.",Yes
