Id,Text,Label
1,"aircraft was not grounded : at altitude when autopilot a engaged, aircraft center had a 2g pitch up followed by autopilot disconnect. autopilot b worked normal. replaced hydraulic autopilot aileron control actuator and accomplished a satisfactory operational check per amm 22-11-26",Yes
2,"autopilot a disconnected during cruise, with all other indications normal. autopilot a was engaged but disconnected ear ly during descent, autopilot b used for remainder of flight. aircraft grounded. flight fault review logged mode control panel data inv, message 22-11607, accomplished dfcs mode control panel test iaw fim 22-11, task 803, no current fault all test ops checks passed.",Yes
3,"air return ord account flight control issue. emergency was declared and flight landed overweight without incident. unable to control rudder, trim stuck 2-5 units to right, unable to center, landed 5 units to the left. the aircraft was gro unded. replaced aileron and rudder trim control module iaw amm 27-11-94 and rudder trim actuator per amm 27-21-87. oper ations check good. this sdr is for rudder trim control module.",Yes
4,"test flight : on climb out with center autopilot on, stabilizer trim went full up. disengage autopilot and was able to control trim. happened twice more on climbout. during descent on right autopilot stabilizer trim went full nose down trim. hand flo wn the remainder of flight. during configuration with gear down and flaps 20, trim again went uncommanded nose up trim. right emoved and replaced elevator feel and centering unit. removed and replaced right elevator feel and centering unit neutr al shift transducer. removed and replaced left and right stabilizer trim elevator assembly module.",Yes
5,"while hand flying the aircraft during climbout, needed 4 unit of right rudder. when autopilot engaged. yoke indication showed 2 units of left. leveled yoke with trim indicator on screen showed right. clicked off autopilot, needed 4 units right rudder. retrimed at level flight 37. all indication matched. performed rudder and rudder trim operational test iawamm 27-21-00, no defects except rudder trim indicator currently on mddr 602188. rudder trim limits ok for service. nature of condition : flight cont affected precautionary procedure : other part name : trim system part condition : malfunctioned",Yes
6,"passing 32,000 on climb out, with lt autopilot engaged, received autopilot eicas along with autopilot light on upper forward instrument panel. autopilot remained engaged. disengaged autopilot & re-engaged lt autopilot. after passing 36,000 received autopilot eicas again. manually disconnecting autopilot 2nd time noticed aircraft was out of trim. required up elevator trim to re trim. lt autopilot worked fine during cruise but once descent was started, received autopilot eicas repeatedly. did receive land 3 on appr & good cat 1 autoland ray 27 memphis rvr 6000. wiring checks good, & performing dar testing as noted on mtsi 22-230557. no shorts to ground noted & dar test passed. right & right s27l hydraulic system low pressure switch iaw amm 29-11-17-4. ops & leak checked good.",Yes
7,"emergency was declared and flight landed without incident. unable to control rudder, trim stuck 2-5 units to right, unab leading edge to center, landed 5 units to the left. the aircraft was grounded. replaced aileron and rudder trim control module iaw amm 27-11-94, and rudder trim actuator per amm 27-21-87. operations check good. this sdr is for rudder trim actuator.",Yes
8,"during arrival to sea 34l, autopilot would not disconnect using the autopilot disengage button on either yoke. used disengage bar on the mode control panel panel to disconnect autopilot, approximately 300agl. grounded - yes. ref dfcs built in test equipment fim 22-11 task 801, no faults logged last leg. verified captain and first officer yoke autopilot switches will not disengage b channel. a channel disconnected normal. sw apped fcc-a with fcc-b computer, fault remains on the b channel. returned fcc ' s to their original positions the fault disappeared. replaced first officer autopilot disc sw ref amm 22-11-41-400-801. no help. removed fcc-b for troubleshooting mx message 22-11 282. found captain control column wire bundle damaged from rudder pedal control quadrant w0443-0017kb-20 and w0443-0004ka-2",Yes
9,"during climb, the pilot tried to select flap up with no response. the flap indication showed the right flap at 1 degree and the lt flap at 5 degrees. with no response to the flap handle position. declared an emergency and landed at an alternate airport. the aircraft was always under control and no roll or control issues. replaced the right flap position transmitter and the flap position indicator corrected the discrepancy. nature of condition : warning indication precautionary procedure : unsched landing part name : transmitter part condition : failed",Yes
10,"rudder pedals binding during flight control check cables, quadrant, no discrepency found, ref to amm 27-21-11-735-169-001, normal rudder pedal forces are supposed to be between 14 to 20 pounds. cycled rudder pedals on captain and first officer side, the first officer rce to push disconnected push pole rod, capts to nose landing gear steering for trouble reconnected push pull rod, capts to nose landing gear steer ng. no fim 27-21 tree 806, disonnected rods ends from autopilot servo left view found roller frozen for cam feel cntr trim mechanism. when bearing rpl please recheck by turn aft quadrant manually is higher than normal, accomplished single hydraulic flight shooting. adjustements were made to system. ( lp 7506808 ). manually turning aft quadrant is not smooth when",Yes
