DataSourceId,Text,Label,StageOfOperation,Source,Note,BCS,COSPEvaluation,COSPNumber
4002713,"DURING CRUISE, CABIN LOST PRESSURIZATION AND OXYGEN MASKS DEPLOYED.  CREW MADE RAPID DESCENT AND DIVERTED FLIGHT TO ORDAND MADE AN UNEVENTFUL LANDING.  ORD MAINTENANCE REPLACED THE CABIN PRESSURE CONTROLLER.  OPERATIONAL CHECK OK. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  EMER. DESCENT, O2 MASK DEPLOYED Part Name: CONTROLLER Part Condition: FAILED",Yes,CRUISE                                            ,FAA and Sentence Transformer Aided ,,,,
4342285,"DURING CRUISE AT FL290, CABIN ALTITUDE INCREASED TO 14,000 FEET. CREW WAS UNABLE TO STOP CABIN CLIMB WITH MANUAL CONTROL. PASSENGER OXYGEN MASKS DEPLOYED AND THE FLIGHT DESCENDED TO 10,000 FEET. CREW REGAINED CONTROL OF PRESSURIZATION SYSTEM AND CONTINUED THE FLIGHT TO PHL AND LANDED WITHOUT INCIDENT. MAINTENANCE REPACKED PASSENGER OXYGEN MASKS AND DEFERREDRIGHT OUTFLOW VALVE. THE OUTFLOW VALVE WAS SUBSEQUENTLY REPLACED AND OPERATIONAL TESTS WERE SATISFACTORY. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  EMER. DESCENT Part Name:  Part Condition: ",Yes,CRUISE                                            ,FAA and Sentence Transformer Aided ,,,,
501169996,"AT FL310, WITH POWER AT CRUISE SETTING AND AIRFOIL ANTI-ICE ON, THE RED ""CABIN PRESS"" WARNING LIGHT ILLUMINATED. CABIN WAS JUST ABOVE 10,000 FEET AND CLIMBING AT 800-900 FPM.  CREW COMPLIED WITH COM AND THE RED BORDERED CHECKLIST BUT COULDNOT REGAIN CONTROL OF CABIN PRESSURE.  AN EMERGENCY DESCENT WAS PERFORMED AND THE AIRCRAFT LANDED UNEVENTFULLY AT DTW.MAINTENANCE DID BITE OF THE PRESSURE CONTROLLERS, FOUND PREVIOUS FAULTS, AND REPLACED THE OUTFLOW VALVE.  THE AIRCRAFT HAS RETURNED TO SERVICE. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  EMER. DESCENT Part Name: OUTFLOW VALVE Part Condition: LEAKING",Yes,CRUISE                                            ,FAA and Sentence Transformer Aided ,,,,
501399921,"WHILE CRUISING AT FL 350, THE CABIN PRESS WARNING ILLUMINATED AND INDICATION SHOWED THE CABIN CLIMBING THROUGH 9500 FEET.  FLT CREW INITIATED AN EMERGENCY DESCENT DOWN TO 10,000 FT AND DIVERTED TO DTW.  LOG PAGE STATES THAT THE CABIN PRESSURE CONTROL RETURNED AS THE AIRCRAFT PASSED THROUGH FL 250 FOLLOWING COM PROCEDURE COMPLIANCE.  THE LANDING AT DTW WAS UNEVENTFUL AND MAINTENANCE FOUND A HOSE BLOWN OFF DUCTING.  THE HOSE WAS REPLACED AND THE AIRCRAFT WAS RETURNED TO SERVICE. Nature of Condition:  OTHER Precautionary Procedure:  NONE Part Name: HOSE Part Condition: SEPARATED",Yes,CRUISE                                            ,FAA and Sentence Transformer Aided ,,,,
07FDEA02993,"DURING CRUISE AT FL280,  RED CABIN ALTITUDE WARNING LIGHT ILLUMINATED. PERFORMED AN EMERGENCY DESCENT TO 10,000 FEET ANDCONTINUED TO SCHEDULED DESTINATION.  CABIN PRESSURE CLIMBED TO 12,000 FEET BEFORE CREW COULD MANUALLY STABILIZE.  NO OTHER FAULT LIGHTS AND PASSENGER MASKS WERE NOT DEPLOYED.  MAINTENANCE VERIFIED THAT THE LT AND RT PACKS OPERATE NORMALLYAND THAT THE OUTFLOW VALVE MANUALLY OPERATED NORMALLY.    REPLACED CABIN PRESSURE POWER TRANSFER RELAY R2-258. OPS CHECKED NORMAL. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  EMER. DESCENT Part Name: RELAY Part Condition: FAILED",Yes,CLIMB                                             ,FAA and Sentence Transformer Aided ,,,,
2004UALA00007,"CRUISE ALTITUDE 37,000 FT, AUTO FAIL LIGHT CAME ON.  WHILE RUNNING THE CHECKLIST FOR AUTO FAIL, CABIN PRESSURE WAS UNCON TROLLABLE. CABIN COULD NOT BE CONTROLLED, DIVERTED,  CABIN OXYGEN MASKS WERE DEPLOYED,  AN EMERGENCY WAS DECLARED AND LA NDED WITHOUT INCIDENT.   THE AIRCRAFT WAS GROUNDED.   FOUND ONE OF THE CABIN SAFETY PRESSURE VALVES TO BE UNRELIABLE, TE ST FAILED.  REPLACED BOTH UPPER AND LOWER PRESSURE RELIEF VALVES IAW AMM 21-32-01.  ",Yes,CRUISE                                            ,FAA and Sentence Transformer Aided ,,,,
2004UALA00128,"AT 32,000 FEET CABIN, FLIGHT MADE EMERGENCY DESCENT FROM 32,000 TO 15,000 DUE TO CABIN PRESSURE PROBLEM.   CABIN PRESSURE CONTROLLER FAILED. REPLACED CONTROLLER. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  EMER. DESCENT Part Name: CONTROLLER Part Condition: FAILED",Yes,CLIMB                                             ,FAA and Sentence Transformer Aided ,,,,
2005UALA00103,"BWI - FLT 401 - CRUISING AT FL350, LGA-TPA, CABIN ALT WARNING HORN SOUNDED.  THE CABIN ALTITUDE INDICATED 10,500 FT AND THE CABIN WAS CLIMBING AT APPROX 1,000 FT PER MINUTE.  A DESCENT WAS INITIATED TO A FLT ALTITUDE OF 10,000 FT.  DURING DESCENT, THE STANDBY MODE WAS SELECTED ON THE PRESSURIZATION SELECTOR PANEL AND THE CABIN RATE OF CLIMB WENT TO 4,000 FT PER MINUTE INSTANTLY.  MANUAL DC WAS THEN SELECTED AND OPERATED NORMALLY THROUGHOUT REMAINDER OF FLT.  FLT DIVERTED TO BWI AND LANDED W/O FURTHER INCIDENT.  NO EMERGENCY WAS DECLARED.  MX REMOVED AND REPLACED THE CABIN PRESSURIZATION SELECTOR PANEL.  ALSO, REMOVED AND REPLACED THE CABIN PRESSURE CONTROLLER (P/N 763810-2) AND THE AFT OUTFLOW VALVE (P/N 711003",Yes,CRUISE                                            ,FAA and Sentence Transformer Aided ,,,,
2005UALA00113,FLIGHT DIVERTED TO CMH DUE TO LOSS OF CABIN PRESSURE.   THE INBOARD SAFETY RELIEF VALVE FAILED OPERATIONAL TEST AND WASREPLACED.  THE CABIN PRESSURE CONTROLLER WAS ALSO REPLACED PRECAUTIONARY. Nature of Condition:  OTHER Precautionary Procedure:  UNSCHED LANDING Part Name: RELIEF VALVE Part Condition: OUT OF ADJUST,Yes,CRUISE                                            ,FAA and Sentence Transformer Aided ,,,,
2005UALA00483,"FAILURE OF F/O AIR DRIVEN COMPUTER AND ALTIMETER.  RT AIR DATA COMPUTER RPL, MR41190, NO DASH, BUT S/N=88041280.  A/C HAD PREVIOUS HISTORY ON 18 MAY.  NO UNIT HISTORY AVAILABLE IN CIDER FOR THIS S/N, SUSPECT THIS IS 1ST REMOVAL. Nature of Condition:  OTHER Precautionary Procedure:  UNSCHED LANDING Part Name: ADC Part Condition: FAILED",No,CRUISE                                            ,Added By Random Sampling,,,,
