Id,Text,Label
1,left entry door slide would not arm. after opening door notice part of slide girt bar hanging from bottom of door. unable to fulling open door. inspected door found girt bar laying on floor detached from slide. suspect door was partially opened with slide armed. verified slide pressure and door assist pressure were still present and not discharged. right econnected slide girt bar to door mechanism iaw amm 25-66-01-4 and verified proper engagement iaw amm 52-11-25. door slide ops cks normal. existing girt bar servicable part not changed. inspected door found girt bar laying on floor detached from slide. suspect door was partially opened with slide armed. verified slide pressure and door assist pressu,Yes
2,aft service door emergency escape slide partial deployed when door was open. ; inspected aft service door slide. slide did not deploy it just fell out of the comparment. reinstall aft service door slide iaw mt 725-61-06. ok for service,Yes
3,"aircraft was grounded : r1 door slide pack separated from r1 door when the door was opened, slide was not armed and did not deploy. maintenance inspected door slide pack and reinstalled door slide per amm 25-66-01.",Yes
4,"when closing main cabin door, slide blew door open but the slide did not deploy. removed and replaced l1 passenger door escape slide. ref 757 mm 25-66-01-4.",Yes
5,"l1 door slide came off door when opening at gate, slide was not armed and did not deploy. repositioned slide per mt.",Yes
6,r2 door emergency escape slide not seated properly. repositioned slide assembly per mt.,Yes
7,aircraft was not grounded : l1 door escape slide pulled out after parking. slide did not deploy. installed serviceable emergency escape slide per job card 08l22125001.,Yes
8,"aircraft not grounded, maintenance reports l1 door slide inadvertenly dislodged and soft pack is open - slide did not inflate. mechanic started to open the l1 door after the ferry crew had armed the escape slide causing the slide to begin open but not to the point where it would inflate and deploy. removed and replaced l1 door slide iaw amm 25-66-01.",Yes
9,ship 5811 door 2r dose not show slide light illuminated with door armed. corrective action : cycled slide arm lever. slide light inop. opened door with slide disarmed. slide deployed. removed slide. ref lp 8119243 for emer escape slide remove and replace. upon inspection of door 24 side drain found clogged. cleared drains. slide light ops good after slide change. insp girt bar floor fittings. no faults found. ( 8119242 ),Yes
10,aircraft was grounded. r1 door emergency evacuation slide girt bar was left in the armed position. catering opened the door from outside causing partial slide deployment. slide failed to deploy properly. removed and replaced slide iaw amm 25-66-01. operational check good. nature of condition : other precautionary procedure : none part name : slide part condition : failed,Yes
11,l1 entry door escape slide is out of position ; forward entry door escape slide is out of position removed and replaced l1 door slide block assembly per amm 25-66-01-400-804,Yes
12,"door 1l girt bar latch catches the slide when opening door with potential for slide deploy. straighten girt bar floor mount, arm & disarm of slide girt bar. operation of door good no defect of door slide at l1. nature of condition : other precautionary procedure : none part name : mount part condition : bent",Yes
13,l1 door emergency escape slide partially deployed without inflating. secured slide iaw mt.,Yes
14,"aircraft was not grounded : door slide at r1 door, part of slide hanging out near bottom. re secured slide skirt on r1 door slide.",Yes
15,inadvertent slide deployment door l1. replaced door slide. nature of condition : other precautionary procedure : none part name : slide part condition : unwanted deploy,Yes
16,"l1 door emergency slide was hanging excessively from door compartment, did not deploy, still operational. secured slide per mm.",Yes
17,"l1 door emergency escape slide inadvertently came out of case, did not deploy, still operational. reinstalled slide int o case per mm & mt.",Yes
18,"r2 door escape slide inadvertently slid out of compartment, did not deploy, still operational. reinstalled slide per mm.",Yes
19,"r1 door slide girt bar hung up on door frame, slide inadvertently pulled partially from cover, did not deploy, still ope rational. right & right slide assembly per mt.",Yes
20,"l1 door emergency escape slide inadvertently fell out of cover, did not deploy, still operational. reinstalled slide pe right amm & mt.",Yes
21,r1 door emergency slide detached screw slide loose. reposition slide per mt.,Yes
22,"l2 door emergency escape slide inadvertently fell out did not deploy, still operational. reinstalled slide per mt.",Yes
23,r1 door escape slide dislodged from slide box. reinstalled slide per mt.,Yes
