Id,Text,Label,,,,,,,
1,right engine thrust reverser stayed deployed after touchdown and thrust reverser handle stowed. shutdown engine on taxi in. nr 2 engine inbd sleeve failed to stow. open. nature of condition : other precautionary procedure : other part name : thrust reverser part condition : malfunctioned,Yes,,,,,,,
2,"reverse thrust lever has lost motion, no thrust reverser operation engine 1 found nr 1 engine outboard thrust reverser lower actuator and sync lock inop. right & right nr 1 engine outboard lower thrust reverser actuator and lower sync lock ref amm 78-31-03, also right & right upper and lower sync shafts ref amm 78-31-04, deployed and stowed nr 1 engine thrust reverser several times, ops and leak chks nomal. ok for service. nature of condition : other precautionary procedure : none part name : actuator part condition : faulty",Yes,,,,,,,
3,"inflight shutdown & diversion - due to status messages right engine sec cont and right engine pri cont came on at fl370. during climb to fl390 thrust levers advanced all engine parameters red lined and engine unresponsive to throttle commands a loud bang and yaw w as experienced, followed qrh and shutdown right engine. removed and replaced the nr 2 engine ref cards.",Yes,,,,,,,
4,"right engine shutdown in-flight due to engine valve eicas and engine surge. crew reports engine windmilled for approximately 7-10minutes with pos itive oil pressure. replaced the nr 2 engine iaw amm 71-00-02. nature of condition : warning indication, partial rpm power loss precautionary procedure : unsched landing, engine shutdown part name : engine part condition : surges",Yes,,,,,,,
5,"inflight shutdown & air turn back - due to the loss of the nr 1 engine. at approximately 600ft above ground level, flight crew reported left engine compressor stall and engine roll back. crew followed qrh and shutdown engine. maintenance found turbine damage. the engine was replaced.",Yes,,,,,,,
6,"aircraft was grounded. emergency declared. nrt dfw flight diverted to sea account crew shutdown the number two engine after overheat fire indications ( engine fail right, turb ovt sensor engine right, fire engine right, bleed off engine right ) and high vibrations. single engine time was approximately 150 minutes. the fire light extinguished after the engine was shutdown and the fire handle was pulled. however the fire bottles were not discharged. the flight diverted to sea and landed without further incident. upon initial inspection, numerous blades in the low pressure turbine section were found damaged. removed and replaced right engine per work card 71-28-17. leak and operational check good. nature of condition : vibration buffet, warning indication precautionary procedure : unsched landing, engine shutdown part name : engine part condition : overheated",Yes,,,,,,,
7,diverted to tlh due to left engine compressor stall. the engine was shutdown. maintenance found turbine damage and the left external fuel tank engine was replaced.,Yes,,,,,,,
8,"ship 9573 - the crew experienced an engine surge and high exhaust temperatures with the #2 engine so the flight diverted to cae. the pilot did reduce power on the problem engine since that engine did not recover from the surge. the qrh directed to shutdown the #2 engine. the flight descended to fl200 and declared an emergency with air traffic control for the diversion. upon arrival, maintenance found metal in the tailpipe. corrective action : the #2 engine was replaced. ( lp #3823804 ) nature of condition : other precautionary procedure : engine shutdown, unsched landing part name : engine part condition : surges",Yes,,,,,,,
9,"right engine compressor stalled, followed by engine vibration high. shutdown the engine. engine change in work. nature of condition : warning indication, partial rpm power loss precautionary procedure : unsched landing, engine shutdown part name : compressor part condition : stalled",Yes,,,,,,,
10,performed an air turn back due to a right engine compressor stall. the engine was at idle at touch down. maintenance right eported turbine damage and the engine was replaced.,Yes,,,,,,,
11,"crew reported that the right engine was unresponsive on approach. shut the engine down at 20k during decent. the right engine ine did not respond. engine was stuck at idle. the engine began creeping up to 1.4 engine pressure ratio, which was too much for landing. the flight crew elected to shutdown the right engine. maintenance found the throttle flex cable disconnected at aft the throttle quadrant in the aft cargo bin. replaced the flex cable, ran engine, and operation check normal.",Yes,,,,,,,
12,"inflight shutdown & air turn back - the crew returned the aircraft back to departure following the failure of the #1 engine. the left engine ex perienced a compressor stall on takeoff, with the exhaust gas temperature reaching 800 degrees, and then the #1 engine rolled back. the engine was shutdown and secured by the flight crew per the qrh. : maintenance replaced engine.",Yes,,,,,,,
13,"right engine compressor stalled in cruise at 18000ft, rolled back to zero thrust, complied with qrh, the engine was shutdown followed by a right engine system fail. borescope found compressor damage. engine changed. nature of condition : warning indication, partial rpm power loss precautionary procedure : unsched landing, engine shutdown part name : compressor part condition : failed",Yes,,,,,,,
14,air turn back inflight shutdown - returned to atl due to right engine compressor stalls with vibrations at top of climb. pulled the engine back to idle. crew followed qrh and shutdown engine due to vibrations. emergency declared. maintenance found metal in tail pipe and turbine damage. the right engine was replaced.,Yes,,,,,,,
15,"inflight shutdown declared emergency, nr 1 engine throttle stuck in cruise position physically would not move aft engine inflight. right & right nr 1 engine main engine control per amm. nature of condition : other precautionary procedure : engine shutdown part name : mec part condition : faulty",Yes,,,,,,,
16,"ship 187 - inflight shutdown & diversion into bos due to right engine loss of oil pressure. ca accomplished qrh checklist engine oil pressure followed by engine failure or shutdown checklist, shutting down #2 engine. emergency declared with air traffic control. main tenance found metal in oil filter and on mcds. corrective action : replaced engine",Yes,,,,,,,
17,"left engine oil pressure light and low left engine oil pressure. oil qty zero. shutdown left engine. emergency declared. found oil pressure line that feeds intermediate bearing leaking out from behind sleeve area. replaced left side engine ip lp turbine oil tube and tube sleeve. serviced oil to proper level used total of 27 qts of oil during the operation of run up. run up engine to power for total of 65 minutes, no leak found, engine oil qty was steady between 20 and 21 qts. during the complete engine operation. nature of condition : warning indication, fluid loss precautionary procedure : unsched landing, engine shutdown part name : sleeve part condition : leaking",Yes,,,,,,,
18,"nr 2 engine with severe damage after takeoff, strong bang noise and aircraft vibration, the engine was secured with engine severe damage check list. the engine was removed and replaced. the engine was removed and replaced. nature of condition : engine stoppage precautionary procedure : unsched landing part name : engine part condition : damaged",Yes,,,,,,,
19,"open - etops significant system - during descent w both throttles at idle stops right engine power was significantly higher than lt engine power. at fl 250 left engine n1 = 31.8 ; right engine n1 = 46.7. left engine n2 = 65.2 %, right engine n2 = 79.8 % ( cont ) ( continued ) at fl 250, idle descent : egts ( both ) = 323 * fuel flow : left engine = 0.6, right engine = 1.4 power difference at idle stops went away at 10,000 '. autopilot and autothrottle were on during event. no thrust differences observed during any other phases of flight. thrust diff erence only noted from descent from cruise altitude to 10,000. during trouble shooting found connector d766 flight ground idle sel on nr 2 engine dirty and loose. cleaned and re-attached secured. performed engine control system test ( amm 76-11-00",Yes,,,,,,,
20,"ea 7830-02252 rev a. during thrust reverser inspection found nr 2 engine inboard thrust reverser nr9 cascade broken - missing and support ring broken with parts missing. ref st engine nr 0065467. removed and installed nr 2 engine inboard thrust reverser cascades segments iaw am m 78-31-05-404, disc placed and installed lower heat-shield nr 2 engine inboard thrust reverser to fom iaw engine manual rb211 78-31-25 removed and installed nr 2 engine inboard thrust reverser support ring iaw amm 78-31 - 28-004, 78-31-28-404. work was accomplished on st engine nr 0 06546 7 and inspected.",Yes,,,,,,,
21,"discrepancy : at top of descent, autothrottle moved throttles to idle, nr 1 engine made "" pop "" noise and shutdown. prior to top of descent, engine indications were normal. performed engine failure qrh. was able to restart engine and perform normal landing. submitted engine trend report in-flight. corrective action : performed troubleshooting iaw amm 71-00-42. removed and replaced nr 1 engine fuel filters iaw amm 73-11-02, no findings borescope of nr 1 engine accomplished iaw amm 72-00-00 stages 1, 3, and 8 by bsi. results on file. remove and replace nr 1 engine mec iaw amm 73-21-01-401, no leaks found on mec or nr 1 engine fuel filters. accomplished idle checks, accelerate decelerate check iaw amm 71-00, ok for service at this tim",Yes,,,,,,,
22,"the flight retuned to cun and an uneventful single engine landing. the nr 1 engine stalled and failure shortly after. the flight crew heard the left engine popping and felt a shudder during the climb out. this was accompanied by engine parameters rolling back. the nr 1 engine was shutdown, per the qrh. corrective action : maintenance found meta left in the tailpipe upon arrival back at the gate. the engine was replaced.",Yes,,,,,,,
