Id,Text,Label
1,"on climbout burning smell sensed. flight attends reported burning smell in cabin complied with smoke smell in cabin found four ovens in aft galley with burnt food, cleaned ovens and changed both recirculation air filters and performed both engine runs no burn smell in cabin at this time. ref 05-51-56 and ref 21-25-02 at suggestion by tech support checked generator control unit ' s via sniff check no odors found at this time. nature of condition : smoke fumes odors sparks precautionary procedure : unsched landing, dump fuel part name : oven part condition : dirty",Yes
2,"burning electrical odor noticed in cabin from row 28 to back of aircraft. no signs of smoke noticed. odor approximately 1 hr out from landing. ran nr 1 and 2 engines independently with packs running. no smoke or any burning odor. checked reading lights iaw mcc for shorting and arcing. no signs of shorting and arcing. checked ovens and coffeemakers, no evidence of burning or arcing noted. nature of condition : smoke fumes odors sparks precautionary procedure : other part name : unknown part condition : odor",Yes
3,burned plastic or burned electrical smell in cockpit inspected behind over-head circuit panels or damaged wires or burn smell. no faults found. inspected first class galley for foreign matter on coffee burners and in ovens. could not find any smell. flight crew reports smell is no longer there at the time of inspection. per debrief of first technician to enter the ac. determined the odor to be from the forward galley area. the galley was then catered per avionic techs no visible damage to components or wiring in the flight deck. currently no odor of burnt plastic or electrica left odor performed inertial navigation system pection per amm 05-51-58,Yes
4,faint burning or electrical odor smelled in cockpit intermittently for approximately two hours during cruise flight. perform engine run per amm 71-00-00201. found no smell of smoke or fumes in cockpit and cabin per fim 21-00 task 1-4. ops checks good on ground. ok for service nature of condition : smoke fumes odors sparks precautionary procedure : none part name : unknown part condition : odor,Yes
5,aircraft was grounded : pilot reports burned wire smell between 14-17 row. smell was consent rated in a small area. turned off power port with no change in smell. burning smell never got any worse. maintenance accomplished smoke odor fumes initialization ial troubleshooting card 05-96-70. no findings were noted.,Yes
6,"during flight crew reported they had an oven smoking, visible smoke with a plastic smell when turned on. maintenance removed and replaced forward galley oven per amm 25-31. inspected connector and wiring, all ops ok. nature of condition : smoke fumes odors sparks precautionary procedure : none part name : oven part condition : smoke",Yes
7,"during climb, mid cabin reported smoke and odor in cabin. further investigation by a cockpit crew member, indicated a burning rubber odor. both odor and smoke dissipated and did not return. performed amm 21-00-21-102-030, no contamination or defects noted. performed detailed inspection of landing gear and wheel wells, both pack bays, all ovens, coffeemakers, and cabin area for cause of odor, no defects noted. nature of condition : smoke fumes odors sparks precautionary procedure : other part name : unknown part condition : odor",Yes
8,"vibration at l2 door, accompanied by slight burning odor, isolated aft cargo heat & vibration stopped. no further odor. found insulation burned and caused possible smoke the odor contacted mcc. fabricated and installed a new blanket. nature of condition : smoke fumes odors sparks precautionary procedure : none part name : heater part condition : malfunctioned",Yes
9,"flight attendant reported burnt rubber smell in bc cabin. seemed to move from row 2 to row 8, right side. cabin lights turned off, smell went away. cabin walk through, no smell at all. never any smoke present. see smoke questionnaire. ts burnt rubber smell. did not duplicate. operated both packs, recirculation fans, galley power and all cabin lights in full bright and low settings. all operation normal per amm. coffee maker at galley 401 was replaced for leaking, and galley 400 chiller right & right for popped circuit-breaker. nature of condition : fluid loss, smoke fumes odors sparks precautionary procedure : none part name : coffeemaker part condition : leaking",Yes
10,aircraft was grounded : fa ' s reported white smoke and strong electrical burning smell from aft galley. ran qrh smoke fire fumes checklist smoke dissipated. maintenance found debris in the aft door area heater. removed and replaced the heater. ops test good iaw amm 21-45-81.,Yes
11,aircraft was not grounded. electrical odor in both the cockpit and cabin during cruise. turned off the entertainment system and left recirculation fan and odor went away. removed and replaced burned out #1 forward equipment cooling supply fan per amm 21-58-06. operational check good. nature of condition : smoke fumes odors sparks precautionary procedure : deactivate system circuits part name : cooling fan part condition : burned out,Yes
12,"flight attendants reported an odor in the aft galley. they said that it smelled like burning plastic. no smoke was observed. the source of the odor was not precise, but may have been emanation from the air vent above the right aft jumpseat between position "" e "" and "" f "". the oven was already powered off, however the coffee makers and lights were turned off as well. this seemed to lessen the odor, however it never did completely subside. grounded - yes. ref fim 05-51 task 814 in spected galley main cabin aft cargo. ran galley appliances, no defects noted. no cabin odor. ran auxiliary power unit & recirculation fans no od or noted. found aft right galley work light burned out. relamped iaw amm 33-26-02. ops checks good. old lamp burnt smell.",Yes
