Id,Text,Label
1,"during transit check, the first officer oxygen test was not satisfactory with yellow light turned off. maintenance performed revision detecting the first officer oxygen mask damaged. the oxygen mask was swapped with the observer `s iaw amm 25-11-00 and the observer seat oxygen stowage was deferred. the observer `s oxygen mask was replaced iaw amm 35-12-85, tested correct and the report was closed. nature of condition : other precautionary procedure : none part name : oxygen mask part condition : damaged",Yes
2,"ship 1606 - diversion - to yul - due to crew o2 down to 20psi. corrective action : serviced oxygen bottle, found pressure drop slightly after 8 hours, swapped captain ' s oxygen mask and deferred per mel 25-11-02d-atl replaced left observer ' s oxygen supply line and captain ' s oxygen mask. lp 6378074",Yes
3,"captain ' s oxygen mask has comptartment door hinge broken, unable to secure mask properly. swapped with first observer ' s oxygen box, removed and replaced the oxygen mask box at observer panel iaw mm 35-11-51. check ok.",Yes
4,"during transit check, the crew oxygen first officer test was not satisfactory with yellow light turned off. maintenance personnel performed revision detecting the first officer oxygen mask damaged. the oxygen mask was replaced iaw amm 35-12-85, tested correct. nature of condition : warning indication precautionary procedure : other part name : oxygen mask part condition : damaged",Yes
5,"during removal procedure for forward crew oxygen bottle, the aft crew oxygen bottle shut-off valve was found to be faulty and would not shut-off crew oxygen flow to the cockpit. bled off all of the aft oxygen cylinder contents. removed and replaced aft oxygen bottle iaw amm 35-11-32 nature of condition : other precautionary procedure : none part name : bottle part condition : failed",Yes
6,"during transit check, the crew oxygen first officer test was not satisfactory with yellow light turned off. maintenance personnel performed revision detecting the first officer oxygen mask panel door pin damaged ; therefore the oxygen mask panel door pin was repaired and crew oxygen mask test was performed iaw amm 35-12-00-700-802, tested correct.",Yes
7,oxygen mask for supernumerary position nr 1 has leak to head harness. replaced oxygen mask assembly iaw amm 35-11-08 ops and leak checked ok. nature of condition : other precautionary procedure : none part name : oxygen mask part condition : leaking,Yes
8,"oxygen leak. captain `s mask broken. emergency declared. removed and replaced the captain ' s oxygen mask iaw amm 35-12-85. no leak s noted. also removed and replaced crew oxygen bottle iaw amm 12-15 - 21, as a precaution. leak checked good. nature of condition : other precautionary procedure : unsched landing part name : oxygen mask part condition : broken",Yes
9,"after two hours of flight, crew oxygen low message oxygen continuously decreased during flight as low as 370 pounds per square inch. replaced oxygen line at the bottle. leak check performed iaw amm 35-11-00.",Yes
10,"mid deck crew rest bottom forward bunk oxygen mask door open, mask did not deploy. inspected and stowed oxygen mask iaw 35-21-11. ok for service.",Yes
11,crew oxygen system has a leak. crew oxygen bottles found to be empty. both bottles were depleted fully to 0 pounds per square inch. captains crew oxygen mask quick disconnect fitting was found disconnected inside the crew oxygen stowage box also. upon further investigation it was discovered that pipe fittings for the supply and discharge lines were not swaged : crew oxygen system supply line and discharge line fittings olives not swaged on the lines. the b-nuts were found over tightened - not possible to loosen. the supply line fittings not being swaged would have caused a large leak in the system. all lines in the area of the crew oxygen bottles were removed to determine how many fittings had defects. found qty 3 fittings in tot nature of condition : inadequate q center precautionary procedure : none part name : line part condition : defective,Yes
12,found top crew oxygen bottle leaking under oxygen bottle shut-off valve. remove and replace top crew oxygen bottle iaw amm 35-11-00. ops test good. leak check good.,Yes
13,air turn back - due to crew oxygen low. confirmed leak at first officer mask. swapped first officer mask & box with observer ' s. replaced crew o2 bottle e per amm 12-15. leak check ok.,Yes
14,"oxygen mask in rear of aircraft ripped. replaced the oxygen mask assembly, ok for service.",Yes
15,"diversion to okc due to crew oxygen slowly decreasing and down to 240 pounds per square inch. mtc found obsolete seat o2 mask in emergency, replaced obsolete o2 storage box. found first officer o2 mask leaking at storage box, replaced mask and storage box. replaced o2 bottle leak checks good. nature of condition : other precautionary procedure : none part name : oxygen mask part condition : leaking",Yes
16,"passenger seat 26degh oxygen mask failed to open during an oxygen mask drop test. replaced the power supply unit oxygen mask box door latch actuator and operation check good iaw amm 35-21-13-400-804, 35-21-00-710-801.",Yes
17,"approximately two hours into flight, the crew noticed their oxygen indicated 10psi when donning mask for bathroom break. returned to departure. suspect captain ' s oxygen box test switch may have stuck partially open but could not duplica trailing edge. replaced crew o2 bottle and leak checked all 4 crew o2 boxes and lines.",Yes
18,aircraft was grounded : pilot reports flight diver tied to hnl on account cockpit oxygen level depleated. aircraft was overweight for landing. an emergency was declared. maintenance found the oxygen hose blew off connection causing the comple trailing edge loss of crew oxygen. secured o2 supply line. leak check good.,Yes
19,"on pre-flight inspection, oxygen pressure noted at 617 pounds per square inch. all flight deck masks operation check not leaking. suspect oxygen system tem leak, outside air temperature 01 center.",Yes
20,"during a-check, found portable oxygen mask damaged. the mask was replaced iaw amm 35-3 1-00 nature of condition : other precautionary procedure : none part name : oxygen mask part condition : cracked",Yes
21,"during test of the first officer ' s oxygen mask, the pressure to test button broken. removed and replaced the oxygen box iaw am m 35-12, leak and operation check good. ok for service.",Yes
22,passenger oxygen mask row 8 fe d dropped and fired. removed and replaced the oxygen generator on row 8 fed iaw amm 35-22-11. nature of condition : other precautionary procedure : other part name : oxygen mask part condition : unwanted deploy,Yes
23,"captain ' s oxygen panel hose developed a leak in fligh, turned off oxygen bottle to stop leakage. repl observers o2 box and mask per md88 amm 35-10 and ri 585835 - 14 rev originator section ii time limited repair ii. leak check and operation check ok. mask, ox, crew ; off 55-3510-9-0004 sn 28504 ( lp6719106 )",Yes
24,"passenger service unit oxygen mask tubing is separated at check valves at all positions. the oxygen mask was removed and replaced iaw amm 35-22-31-000-801, and 35-22-31-400-801-001. nature of condition : other precautionary procedure : none part name : oxygen mask part condition : damaged",Yes
25,"aircraft returned to departure, due to the captains side l1 window cracked. an emergency was declared and landed with out incident. maintenance confirmed the window cracked due to window heat system failure. replaced the window iaw amm 5 6-11-11, the window heat controller iaw amm 30-41-11, and accomplished a satisfactory operational check.",Yes
26,first officer windscreen shattered right forward window heat inoperative. observed arcing. emergency declared. replaced the first officer `s windshield assembly iaw amm 56-11-01. replaced window heat controller iaw amm 30-41-01. all operation check satisfactory. nature of condition : smoke fumes odors sparks precautionary procedure : unsched landing part name : window part condition : cracked,Yes
27,"( aircraft 6806, low pressure 1367824 ) oxygen panel mask deployed oxygen panel open mask dropped interior. corrective action : right e-secured o2 mask and door at location 204 as necessary. verified o2 generator was not activated. ok for service.",Yes
28,"passenger oxygen service unit panel failed an operational check at row 33 abc. replaced the oxygen service unit, and performed oxygen drop check successfully.",Yes
