Id,Text,Label,,,,,,,
1,"main tank imbalance of 800# at 4 hours into flight. left tank low. fuel flow even. balanced fuel at completion of center fuel burn. tanks burned evenly until seattle. grounded - yes. fueler refueled aircraft 24.6 total fuel on-board. refuel done, no pumps on, crossfeed closed, fuel transferred from center to left wing tank fuel ended at 9.1 in left wing tank no fuel spilled outside aircraft, transferred fuel from left wing to center tank. left wing tank now at 8.70 ref b737-800 fim 28-21 task 814 unwanted fuel xfer from center tank to left wing tank. initial eval steps 4 a to g. all these steps good. accomplished fim task 28-21 task 814 steps 5 a to g no transfer from center to left tank noted, verified fuel quantity using t",Yes,,,,,,,
2,"aircraft was grounded. in normal fuel configuration, fuel burns out of the right wing tank with fuel in the center tank. during climb, noticed right fuel tank level burning at faster rate the center tank. right tank indication became amber imbalance indication at fl310. executed qrh imbalance procedure. engine and fuel flow indication were normal through out flight. after imbalance corrected and center tank emptied right fuel indication still showed higher burn rate with fuel flow gauges showing opposite. replaced center-left fuel boost pump and accomplished a satisfactory operational check, per amm 28-22-41.",Yes,,,,,,,
3,"aircraft was grounded : tank fuel imbalance started happening at a higher rate than fuel burn from center tank after takeoff. unable to burn center tank fuel to arrive at destination with sufficient fuel and balanced main tanks. aircraft di vertical ed to iah emergency declared. left center boost pump reinstated. performed fuel transfer test, fuel pump operation, fuel quantity built in test equipment, pump ufi test. all pass, no faults noted.",Yes,,,,,,,
4,"during cruise, wing tanks began draining while center fuel tank still had over 3500 lbs with all fuel pump switches on. center tank fuel began draining with crossfeed valve open only. grounded - yes. performed unwanted fuel transfer into center tank iaw fim 28-21 task 812, no defects found, ops normal. as a precaution, performed fqis built in test equipment procedure iaw fim 28-41 task 801. all test passed with no faults noted at this time. verified fuel quantity using fuel stick procedure with uppe right center du fuel quantity indicator ref fueling procedure section a page 8, no defects found at this time. okay for service.",Yes,,,,,,,
5,"with center tank fuel quantity at 200 lbs, center fuel pumps were turned on at cruise. both center fuel pump lights immediately illuminated and remained on with no apparent decrease in center fuel quantity. once fuel quantity decreased below 4500 lbs in number 1 tank, center tank quantity lowered to 0. grounded - yes. center tank fuel pump low pressure lts function normal per b737-800 fim 28-22 task 801. no discrepancy noted.",Yes,,,,,,,
6,"during climb a fuel light was noticed on the left fuel tank quantity the left quantity was 7.5 and the right quantity was 8.5 the center was 22.5 all fuel pumps were selected on at the time, and the crossfeed valve was closed. we ran the fuel imb checklist which had unsatisfactory transfer main fuel until both warms even at 7.5 and them resumed normal ops. grounded - yes. cw fuel boost pumps operational test iaw b737-800 amm 28-22-41. transfered fuel from wings to center & back to wings. no defect noted.",Yes,,,,,,,
7,"in cruise over a three hour period #1 main tank fuel indication dropped from 8.62 down to 8.35. #2 main tank remained full. cross feed function normal. ramp fuel in lih was 41.5 with both main tanks full and the remaining fuel in center tank. ff on #1 engine was higher when center tank was empty, imbalance went from 300-400 lbs. fuel balance was normal as well as overall fuel burn throughout the flight. grounded - yes. accomplished fqis built in test equipment ref b737-800 fim 28-41 task 801 no flight faults and ground test pass, current status no faults. verified #1 and #2 fuel qty ' s match using alternate fuel stick method, wing gages and flight deck gages.",Yes,,,,,,,
8,"shortly after running the center tank dry and securing the center tank fuel pumps, the main tank 2 fuel qty indication rapi delay dropped approximately 2000lbs. while working through a possible fuel leak scenario, the main tank 2 indication fluctuate uated up and down 1000-2000 lbs. three more times. fuel used and all engine indications remained normal. grounded - yes. on deferral.",Yes,,,,,,,
9,"aircraft was grounded, ferry flight to lax : ref fim 28-21-00-810-815 for unwanted fuel transfer center to 2 tank. with right center enter pump on, fuel leaks into right tank through discharge check valve of right forward or right aft boost pump housing. found center racked fuel line, removed and replaced fuel line iaw 28-20-51-06.",Yes,,,,,,,
10,"fuel tank nr 1 indicated 1500 lbs less fuel than fuel tank nr 2. while running the fuel imbalance and engine fuel leak center hecklists, the fuel tank nr 1 indicator suddenly went back-up 1500 lbs to its original value. suspect a fuel gauge or sensor error. grounded - yes. built in test equipment checked fqis ref fim 28-41 task 801. 2 ea flight flight line test set 28-41205 tank 2, 28-41105 tank 1. accomplished operational test of the fuel quantity indication system iaw amm 28-41-00-710-801. ground test pass. accomplished resistance and capacitance check of the nr 1 main tank iaw amm 28-41-21-710-801. values of nr 1 main within limits. accomp resistance & capacitance check of nr 2 main tank ref amm 28-41-21-710-801. all values are within limits. remo",Yes,,,,,,,
11,found fuel leak on #1 engine at gasket between fuel oil heat exchanger and fuel pump. grounded - yes. removed and replaced the main oil fuel heat exchanger and torqued attaching hardware ref b737-800 amm 79-21-02401 leak ck good.,Yes,,,,,,,
12,"on takeoff rotation left main fuel indications slowly dropped to 7370 pounds with fuel in center tank all 6 fuel pumps on and crossfeed closed. max imbalance was 1200 pounds. after center tank fuel was used we used fuel out of right tank to set imbalance to 300 pounds. grounded - yes. removed debris from nr 1 fuel tank at nr 1 fqis compensator mounting location. while in the nr 1 main fuel tank at this location removed and replaced nr 1 fqis compensator and tank unit nr 1 precautionary, ref b737-900 amm 28-41-21401. nr 1 fqis system test good, ref amm task 28-41-00-730-801. for inspection tion requirements, de-activation and leak check, ref tank entry permit 78528000-line. ref log page nr 60010401 for op de",Yes,,,,,,,
13,"aircraft was grounded : on descent, center tank fills as if fuel is back filling. center tank fuel 280lbs. pumps in norma left position for flight. found left center tank fuel pump canister check valve failed. removed and replaced left center tank canister check valve 84qm per amm 28-21-52.",Yes,,,,,,,
14,near top of climb fl340 noticed left main fuel tank showed 900lbs lower than right ( with fuel in center ). imbal light came on. ran imbal qrh and fuel leak qrh. no fuel leak. fuel remained lower in left tank until after touchdown at which point fuel indicator on left tank increase aprox 700lbs. grounded - yes. performed fqis built in test equipment test per b737-800 fim 28-41-00-810-801. no faults on current status & inflight. ground test is good. no faults history. aircraft ok for service.,Yes,,,,,,,
15,"aircraft was grounded : ecam message fuel auto transfer fault, followed by ecam fuel f. used fob disagree center fuel leak proc apply fuel right wing tank overflow. air returned to mia, emergency declared. removed and replaced lwing probe 2 iaw amm28-42-15. see aala202001309018.",Yes,,,,,,,
16,"aircraft was grounded : ecam message fuel auto transfer fault, followed by ecam fuel f. used fob disagree center fuel leak proc apply fuel right wing tank overflow. air returned to mia, emergency declared. removed and replaced lwing probe 4 iaw amm28-42-15. see aala202001309008.",Yes,,,,,,,
17,"aircraft grounded : during cruise, norm fuel panel config for burning center tank, right mn tank qty indicator up steadily. at 10 lbs per minute, showed unusual values, first 8.8, 8.9, & 9.0. highest observed was 9.1. at runup, right main qty, total fuel consumped norm. right main indicator topped out, 9.0, no longer increases, total fuel qty within 15 mins, fell below several hundred lbs. checked wing tips for venting fuel, none. fuel flow indicator norm at 2.23 per hr, per engine. fuel balanced, shut-off right pump, center tank, & right main tank qty decreased norm. center tank empty on schedule & went to main tank. right main qty norm & decreased at a norm rate. found a cracked right wing fuel line & replaced iaw amm 28-20-51-06.",Yes,,,,,,,
18,"main tank # 1 aft fuel pump "" low pressure light "" illuminated. fuel qty was 3.46 ( 3460 left b ). grounded - yes. ts with b737 - 800 fim 28-22 task 803, no fault found. performed #1 aft fuel boost pump operational test, test passed ref b737-800 amm 28-22-41-710-801. transferred 1,500 lbs with #1 aft fuel boost pump and no faults noted. fuel boost pump ground verification successful.",Yes,,,,,,,
19,ramp reports fuel leak on #1 engine during pushback. grounded - yes. crew ran #1 engine and fuel pouring from fuel pump drain pad. approximate leak rate estimated at 3 gallons p [ er minute. operation check good.,Yes,,,,,,,
20,left fuel gauge inoperative at refuel control panel grounded - yes. removed and replaced #1 main fuel tank refuel indicator ref b737-800 amm 28-41-61401. op check normal.,Yes,,,,,,,
21,fueler showed up at 1841z was having problems wthe fueling panel. finally got the main tanks fueled but couldn ' t fuel the center tanks. req ak mx at 1910z center fuel tank qty gauge is inop cockpit gauge is working. grounded - yes. verified fuel panel center gauge inop outside. rmvd and installed new center tank refuel qty indicator ref b737-900 28-41-6140 1. performed system ops test. chks nml.,Yes,,,,,,,
22,aircraft was grounded : after takeoff strong odor noticed aft left cabin. aircraft returned to chs and upon landing strong fuel odor in cabin and flight deck was noted. a significant fuel leak noted from left engine inflight left engine fuel flow 1000 lbs higher than right engine left trail of fuel on ramp during taxi in. note : no emergency was declared. main tenance found fuel leak coming from #1 engine fuel flow transmitter and replaced it per amm 73-31-17. a satisfactory lea k operational check was accomplished.,Yes,,,,,,,
23,no. 1 engine fuel leak trailing behind engine as taxing to parking. after engine shutdown large pool of jet fuel under engine. grounded - yes. performed idle leak test by flight crew for 5 minutes iaw b737-9 amm 71-00-00-790-804-goo. leak from fuel pump out of limits. replaced #1 engine main fuel pump ref amm 73-11-01. accomplished main fuel pump installation t estimate ref amm 71-00-00 test 4 with no leaks noted. etops ground verification.,Yes,,,,,,,
24,"right main fuel tank quantity slowly decreased during initial cruise while using center tank fuel. right main quantity stabilized at 8.13 fuel used agreed with planned burn. grounded - yes. replaced left and right center tank boost pumps, crossfeed valve body and adapter. performed fuel manifold lk test ( no defects ), performed boost pump output pressure test ( no defects ). replaced left and right center boost pump pick up line packings on tank tiger wo 14046m84-r-2-4. operational test of engine fuel suction feed good iaw b737 800 amm 28-22-00-710 802.",Yes,,,,,,,
25,"aircraft was grounded : climbing through about 10,000 feet, got amber fuel imbalance. left tank continued to decrease. to talizer decreased as well. emergency declared. diverted to cancun where confirmed fuel leak on left engine. problem got worse using the only operable center fuel pump. imbalance was greater than 3000 lbs. performed troubleshooting for unexp ected fuel configuration iaw fim 28-41-00-810-820. system operating normal. accomplished fqis with fuel measuring sticks comparison iaw amm 28-41-00-720-801. results whitin limits. good for service.",Yes,,,,,,,
26,left center fuel pump low pressure light-remained illuminated when selected on in-flight with fuel in center tank. grounded - yes. removed and replaced center-left fuel boost pump ref b737-800 amm 28-22-41 ops and leak checks good.,Yes,,,,,,,
27,"in cruise at fl360, with 6000lbs fuel in center tank, right center tank fuel pump low pressure light illuminated. comple trailing edge down fuel pump low pressure qrh. grounded - yes. preformed operation check per b737-800 amm 28-22-41 on the right center tank, operation check good at this time.",Yes,,,,,,,
28,1.25 fuel imbalance in left wing low tank. ran qrh and determined it was just an imbalance. balanced fuel and it seemed to hold steady. in 55 minutes between way points we went from plus 600 lbs fuel to negative one thousand eight hundred. fuel temperature was - 30 center. grounded - yes. performed fqis operational test ref b737-800 amm 28-41-00-710-801. tank 1 qty blank count. fuel sumped both left and right wing main tanks per amm 12-11-00. no water found in sump jar. perf ' d fqis current faults test and ground test per amm 28-41-00-710-801. last inflight fault shows 19 legs ago. hi-z short to shield. verified ck pt fq indicator agree w refuel panel indicator. ref alteration fueling procedures manual. verified stick readings for tanks 1 & 2 agree,Yes,,,,,,,
29,"#1 aft fuel pump low pressure light illuminated, fuel qty 5.8. grounded - yes. removed & replaced lf aft fuel boost pump pressure switch ref b737-800 amm 28-42-11. ops test good.",Yes,,,,,,,
30,"aircraft was grounded. after takeoff climbing through 10,000, got a fuel imbalance. suspect fuel leak. returned to mia. removed and replaced center-right fuel pump.",Yes,,,,,,,
31,"nr 1 engine forward fuel pump illuminated after touchdown with over 4000 lbs of fuel. would not re-set upon cycling the switch. grounded yes. removed and replaced nr 1 forward fuel boost pump, per b737-800 amm 28-22-41. fuel boost pump operations check and leak check normal, per amm 28-22-41.",Yes,,,,,,,
32,"while total fuel quantity and fuel flows appreared normal, right fuel quantity slowly progressed to read 600 pounds lowe right than left tank. as center tank quantity was exhausted tanks read 8.590.007.92. fuel was then balanced with no subsequent issues. grounded - yes. built in test equipment check fqis okay, no faults logged ref b737-800 fim 28-41 task 801. fqis to fuel stick comparison. check was okay ref b737-800 amm 28-41-00-720-801. fuel crossfeed valve functional check okay ref amm 28-22-0 0-730-802. okay for service.",Yes,,,,,,,
33,"aircraft was grounded : after level off fuel indications showed 7.43, 5.91, 5.41 with tank to engine we configured both motors off left tank and right wing tank continued to go lower. at 1407z left 7.37 center 6.3 right 5.3. emergency was declared and air returned to mia. accomplished unwanted fuel transfer from number 1 tank per fim task 28-21-00-810-803. no faults also inspected engine number 1 for fuel leaks no leaks and fuel quantity indication system built in test equipment no faults. due to history accomplished more trouble shooting. right center tank pump "" low pressure "" light illuminated with pump on. center-right tank pump universal fault interrupter replaced and tested per amm 28-22-99.",Yes,,,,,,,
34,"fuel leak #1 engine. diverted to rno due confirmed fuel leak requiring engine shutdown per qrh. emergency declared for priority handling. grounded - yes. diversion - performed gvi #1 engine found cowling wet with fuel after opening, fan & thrust reverser cowls inside areas were dry no leaks noted. applied left tank fuel pressure & opened engine #1 spar valve. no leaks noted. fuel pumps off, spar valve closed. transferred fuel to left wing iaw b737-900 amm 28-26-00-650-802. extended flaps, no leak s noted. returned fuel to balance. completed fqis built in test equipment check, no faults found ref b737-900 fim 28-41 task 801. completed #1 engine built in test equipment check, no faults found ref amm 71-00-00. ran #1 engine for 5 minutes. completed gvi on #1 engine, no leaks noted",Yes,,,,,,,
35,right aft fuel pump low pressure light on. grounded - yes. ops test #2 tank aft fuel pump ref b737-800 amm 28-22-41. good.,Yes,,,,,,,
36,#2 fuel leak engine grounded - yes. on deferral.,Yes,,,,,,,
