Id,Text,Label
1,"aircraft grounded. approximately 31000-31700 w autopilot engaged, autopilot started a decent. we had altitude disagree and airspeed disagree. complied wqrh for altitude unreliable airspeed disagree 80 knots difference. inspected lt & right pitot and static drains for moisture and blockage, iaw amm 34-11-02. no moisture and blockage noted. performed lt & right pitot and static leak checks, iaw b737 amm 34-11-00 & 34-11-01. no decrease in altitude or airspeed in 1 min, no diffeerence in indication of lt & right alt or airspeed. aircraft at 23000 ft with an identical decrease of approximately 70 ft on both sides, check within limits. replaced right iru, iaw b737 amm 34-21-01. replaced right adm, iaw b737 amm 34-24-04. operation check norma",Yes
2,"diversion declared emergency at fl400 indicated airspeed disagree flag on primary flight display + - 5-6 knots between captain first officer standby airspeed. during descent captain s airspeed gradually decreased to 45kt, first officers standby indicated 250kt. captains altitude 300-500ft high. elect ronic engine control system shifted to altitude mode. captain airspeed & altitude remained erroneous until 5000-8 000ft when they seemed normal. found faulty left air data inertial reference unit per amm.",Yes
3,"the aircraft was grounded. just after takeoff, first officer airspeed began to decrease, altitude also differed from ca. accompanied by indicated air speed disagree, alt disagree, alt electronic engine controllers - both engines and speed trim fail on recall ( cleared with master caution ). an emergency was declared with approach. during descent, accomplished qrh procedures. as descent continued thru 11,800 first officer airspeed and alt began to recover. from 3000 to landing first officer and ca speed and alt matched. maintenance troubleshot fos pitot static system. replaced right air data inertial reference unit iaw amm 34-21-01. flushed pitot and static lines iaw mm 34-11-00. right static system full range leak test & pitot also. ( see also sdr aala201708159024 ) nature of condition : warning indication precautionary procedure : none part name : air data inertial reference unit part condition : faulty",Yes
4,"after takeoff, lost multiple avionics, pilots altitude, airspeed, radio altimeter, autothrottles. first officer `s flight display was similar but regained airspeed, altitude, but no autothrottles. last flight faulted adc sys-l with fault codes 110401, and 130401. also a second event on same flight leg with fault adc sys-l and codes 312251, 210401, and 220401. troubleshot iaw fim 22-02 fault tree 829 and replaced left adc iaw amm 34-12-01-4, due to tripped fault ball. adc rts checked good. fault would appear to be isolated to a lt adc failure iaw mtsi 34-165936, right & right the right adc as a precaution iaw amm 34-12-01-4, air data computer ops normal. also performed test 30 and 40 iaw amm 22-00-00-2, lower landings nature of condition : multiple failure precautionary procedure : unsched landing part name : adc part condition : malfunctioned",Yes
5,"the aircraft was grounded. just after takeoff, first officer airspeed began to decrease, altitude also differed from ca. accompanied by indicated air speed disagree, alt disagree, alt electronic engine controllers - both engines and speed trim fail on recall ( cleared with master caution ). an emergency was declared with approach. during descent, accomplished qrh procedures. as descent continued thru 11,800 first officer airspeed and alt began to recover. from 3000 to landing first officer and ca speed and alt matched. maintenance troubleshot fos pitot static system. replaced first officer static adm iaw amm 34-21-04. flushed pitot and static lines iaw mm 34-11-00. right static system full range leak test & pitot also. ( see also sdr aala201708159039 ) nature of condition : warning indication precautionary procedure : none part name : air data module part condition : faulty",Yes
6,"captain and first officer unreliable airspeed altimeter and engine light on. airspeed disagree by200 knots crew reports captain airspeed dropped to 80kts. electronic engine controllers built in test equipment flight history shows message 73-31641 & 73-31642 air data inertial reference unit total pressure disagree flushed captain & first officer pitot system per amm 34-11-00. checked pitot probe heat & angle of attack vanes. no defects. replaced captain air data module per amm 34-21 - 04. checked system to 300kts & 10k ft altitude, ok rotable parts change was indicated - tt 1418432 sn off 1354 module, standby off 42-3413-9-0001 1354 on 29-3413-9-0001 2172.",Yes
7,"moderate rain, all anti ice systems on. during descent, received indicated air speed comparter alert followed shortly by sel elevator fee left man and sel flap limit override level 2 alerts. also received autopilot and ats disconnected. suspect first officer pitot static frozen. followed qrh for airspeed unreliable once in warmer temperatures. reconnected the autopilot and ats and all indications were normal. inspected and leak tested the captain `s, aux & first officer `s pitot static system iaw amm : 34-11-00-2. found drain holes in first officer ' s pitot tube plugged. purged the first officer ' s pitot system and captured, confirmed presen ce of biological debris. removed and replaced the first officer ' s pitot tube iaw amm 34-11-02-2, and operation check good,",Yes
8,emergency declared. flight returned to departure due to altimeter unreliable and airspeed indication disagree. landing uneventul. removed and replaced captains pitot probe iaw amm 34-11-01. leak and operational checked good. aircraft was grounded. nature of condition : warning indication precautionary procedure : unsched landing part name : pitot tube part condition : malfunctioned,Yes
9,"aircraft was grounded : pilot reports on climbout, entering clouds at 15,000 ft. computed air speed airspeed became unreliable, with indicated air speed and actuator disagree warnings illuminated. first officer & standby instrument were in agreement. condition remained entire flight until 13,0 00 on descent. maintenance removed and replaced capts pitot probe iaw amm 34-11-01. ops and leak check good iaw amm 34-1 1-00.",Yes
10,"aircraft was grounded : pilot reports at cruise, ca pfd data disappeared with a low airspeed aural warning. left irs on d center momentary then align annunciator, both eecs alternate left transponder fail. b autopilot disconnected. left irs on, position page of flight management computer blank. after selecting att on irs, able to regain left attitude indicator, ca speed and altitude. still missing. autobrake disarm light. speed trim fail and mach trim fail on recall. noted a code 18 on over-head irs panel. display source all on 2 no help. maintenance accomplished bit dfgc iaw amm 22-11-00, fmcs iaw amm 34-61-00 electronic engine controllers iaw amm 71-00-00, all faulted left air data inertial reference unit. replaced #1 air data inertial reference unit iaw amm 34-21-00, checks good. accomplished left air traffic control transponder ops center",Yes
11,"aircraft was grounded : pilot reports when climbing from fl290 to fl320, received an overspeed warning followed by stall buffet. four to eight thousand feet were required to recover the aircraft. captain. first officer and standby airspeed were unreli able and air traffic control center reported 150 knot airspeed different to anything reported by aircraft instruments. maintenance found approximately. 5cc of water per ea. pitot drain. flushed and purged pitot & static lines iaw amm 34-11-00. right & right #1 cadc & ops ck good iaw amm 34-16-01. found relay r2-178 relay would not turn on pitot static heater off light on oap. right & right relay. ops ck good on relay & all pitot static heaters iaw amm 34-11-00. rts good #1 & #2 dfgc iaw amm 22-01-05.",Yes
12,"sdr reported due to declared emergency per mcc report. after takeoff, airspeed erratic. disconnected autopilot + autothrottles. received vectors from atl. confirmed altitude and heading accuracy from atl. confirmed ground speed readout cw pitot static system lk ck of captain and first officer system lk ck gd accuracy of airspeed and alt within tolerance all per md88 amm 34-11. found stby indicator slow to respond found quick disconnect for static line at stby indicator loose. removed + replaced flex static line to indicator and connector to indicator ref md88 amm 34-13. removed + replaced standby altimeter airspeed indicator. ref md8 8 amm 34-13. found right side alternate static port tube leaking. removed and replaced right side alternate static port",Yes
13,"aircraft grounded, at fl370 in cruise indicated air speed disagree : airspeed on captain `s side decreased to 120kts, first officer `s was in red band ; captain `s altitude began climb, first officer `s began descent ( stby airspeed and alt indicated normal at all times ). ran qrc and qrh procedure. an emergency was declared and aircraft returned to mia, where it landed safely ( not overweight ) without further incident. supplemental report : right & right captain pitot probe ( aala202008319007 ), per amm 34-11-01 with new connector. satisfactory heater, leak and resistance checks, per wdm 30-31-1130-31-12. right & right fcc-a ( flight control computer ) ( aal a202009119008 ), per amm 22-11-33. right & right nr 1 display electronics unit ( display electronic unit ) ( aala202009119009 ), per amm 31-62-21. auxiliary power unit s",Yes
14,"aircraft was grounded : left altimeter and right airspeed indication unreliable, flight declared emergency and diverted to lit. replaced right pitot probe ( aala202104279011 ) iaw amm 34-11-01, window pitot heat module ( aala202104279012 ) iaw amm 30-41 - 41, and right pitot air data module, leak and ops checks good.",Yes
15,"aircraft grounded, at fl370 in cruise indicated air speed disagree : airspeed on captain `s side decreased to 120kts, first officer `s was in red band ; captain `s altitude began climb, first officer `s began descent ( stby airspeed and alt indicated normal at all times ). ran qrc and qrh procedure. an emergency was declared and aircraft returned to mia, where it landed safely ( not overweight ) without further incident. supplemental report : right & right captain pitot probe ( aala202008319007 ), per amm 34-11-01 with new connector. satisfactory heater, leak and resistance checks, per wdm 30-31-1130-31-12. right & right fcc-a ( flight control computer ) ( aa la202009119008 ), per amm 22-11-33. right & right nr 1 display electronics unit ( display electronic unit ) ( aala202009119009 ), per amm 31-62-21. auxiliary power unit",Yes
16,"aircraft grounded, at fl370 in cruise indicated air speed disagree : airspeed on captain `s side decreased to 120kts, first officer `s was in red band ; captain `s altitude began climb, first officer `s began descent ( stby airspeed and alt indicated normal at all times ). ran qrc and qrh procedure. an emergency was declared and aircraft returned to mia, where it landed safely ( not overweight ) without further incident. supplemental report : right & right captain pitot probe ( aala202008319007 ), per amm 34-11-01 with new connector. satisfactory heater, leak and resistance checks, per wdm 30-31-1130-31-12. right & right fcc-a ( flight control computer ) ( aa la202009119008 ), per amm 22-11-33. right & right nr 1 display electronics unit ( display electronic unit ) ( aala202009119009 ), per amm 31-62-21. auxiliary power unit",Yes
17,"aircraft was grounded : left altimeter and right airspeed indication unreliable, flight declared emergency and diverted to lit. replaced right pitot probe ( aala202104279011 ) iaw amm 34-11-01, window pitot heat module iaw amm 30-41-41, and right pitot air data module ( aala202104279013 ), leak and ops checks good.",Yes
18,"somewhere on descent into kmem, between fl 290 and fl 240, started having numerous indications associated with pitot static icing. we were in moderate turbulance and heavy rain ; convective weather. ap ats disengaged, had "" indicated air speed "" comparator on both pfds, first officer and stby instruments were closest together, captain indicated air speed read 30 knots indicated air speed higher. ran qrh for airspeed unreliable. declared emergency. all indication back to normal on final. emergency was terminated on ground. performed pitot tube inspection ck ref mm 34 11 02 6, performed pitot tube maintenance practices 34 11 02 2 0 nr 4 and debris was found in right and stby pitot drains, was cleared. captain pitot tube drain was clear. performed air data test ref 34 16 00 5 checked with i",Yes
19,"aircraft was grounded : pilot reports airspeed disagree alt disagree cautions, airspeed low warning in-flight fl 280, electronic engine controllers ( s ) went to alternate mode. eventually first officer side returned to normal, followed by ca side returning to normal approximately. 5 min later. all engine heats pitot heats to proper positions. no other warnings & cautions. maintenance found the left h pitot at fault, replaced iaw amm 34-11-01 leak and ops check ok.",Yes
20,"crew reported 60 knot airspeed discrepancy during climb. ran com 5.31.5 with no success. returned to klrd and declared emergency. no further incident. maintenance at klrd disconnected captain first officer ? s pitot lines from pitot tubes. during inspection pitot of tubes found debris in first officer ? s pitot tube. cleared debris from first officer ? s pitot tube. performed pitot system leak check and mach airspeed indication check iaw gmm vol 1, chap 8.4.1 and mm 34-10-0 & 34-10-1. operation check was good. no defects noted.",Yes
21,"on takeoff roll, the autothrottles disconnected at 80 knots indicated air speed on captain airspeed. the flight officer was about 40 knots indicated air speed hi gher. the standby matched the fos airspeed. on level off the airspeed was better, within 10 knots indicated air speed but never matched. the flight declared an emergency and returned to departure. on final approach computed air speed airspeed was 20 to 30 knots indicated air speed low. indicated air speed disagree was on most of the time. the aircraft was grounded. maintenance replaced captain pitot probe and tested ok per am m 34-11-01. ok for service.",Yes
22,"aircraft was grounded : left altimeter and right airspeed indication unreliable, flight declared emergency and diverted to lit. replaced right pitot probe iaw amm 34-11-01, window pitot heat oh panel ( aala202104279012 ) iaw amm 30-41-41, and right pitot air data module ( aala202104279013 ), leak and ops checks good.",Yes
