Id,Text,Label
1,"right aft wet area corroded on floor beam bs 986.5. aircraft grounded. removed and replaced floor beam tee fitting iaw srm 53-70-51-2r-4, repair 4. nature of condition : other precautionary procedure : none part name : floor beam part condition : corroded",No
2,"during initial inspection maintenance found level 2 corrosion on floor stringers, rbl 7.55 at sta 1333, sta 1362, sta 13 74, rbl 10.45 at sta 1360, sta 1371 and rbl 16.10 at sta 1374. stringers repaired per srm.",No
3,fuel odor in cabin after starting auxiliary power unit on taxi in. auxiliary power unit air switch on. confirmed fuel smell in cabin ( aft ). found auxiliary power unit fuel control leaking fuel at lower fitting. tightened fuel line md88 ipc 49-31-00 fig 1 ( sheet 2 ) item # 265. leak ck ok. no fuel leaks noticed. cw full duct burn out ref md90 amm 21-53 and changed socks and washed auxiliary power unit inlet ref amds wc 4900-18. ( lp# 5899738 ),No
4,"bulkhead web cracked at bs 663, rbl 44. repaired the bulkhead web iaw ea.",No
5,"after takeoff, crew received a landing gear indication with associated air noise. the decision was made to return to departure arture. replaced the right main landing gear sequence valve.",No
6,during inspection maintenance found corrosion level 2 aft cargo bay frame sheer tie clip bs 1197+66 str 36 - 37r. shear tie replaced. ( lp 1874029 ),No
7,aircraft in base visit : maintenance reports door 2r forward emergency light power supply assembly m33097 failed test. removed & replaced door 2r forward emergency light power supply assembly m33097. operation check is good iaw amm 33-51-06.,No
8,"lower fuselage skin between bs 178 and 203.8, stringers 24r damaged. repaired iaw sr : 3-3855947199. nature of condition : other precautionary procedure : none part name : skin part condition : damaged",No
9,"aircraft in base maintenance : crack in floor panel break assembly at sta 540 between bl 0 and bl 24l, measuring l=1.0 in. replaced break with new iaw card 51-00-05-1.",No
10,"corrosion level : 2 corroded shear tie, just aft of frame 1329, btw str37l and str38l. replaced shear tie ( lp 1360956 )",No
11,"discrepancy while at c-check at commercial jet in kd hn the following damage was found at station 783 wl 213rbl and lbl6 3 have pilot holes with no pitch from existing holes, chafe damage and a drill strike on the inboard free flange of the frame. corrective action : commercial jet in kd hn fabricated 4 each freeze plugs from 7075-t651, a circular filler from 7075-t6. work approved by aei 8110-3 dated 2152021 by rolf d. hamer quist dert - 636371-nm",No
12,"( aircraft 651, low pressure 1354557 ) power supply unit o2 door loose mask fell during takeoff interior location : 7d. correcctive action : opened power supply unit 02 panel at seat location 7d. 02 generator is not fired and pin engaged. repacked masks and stowed panel and latched per b 757 amm 35-21-05-402-001-003. checks good and ok for service.",No
13,discrepancy : found crack at fuselage sta. 867 right between stringers 8r and 9r. corrective action : accomplished repair at right fuselage sta. 867 between stringers 8r and 9r per ad 2009-01-02 and sb 737-25-1544 instructions.,No
14,1r slide light inop. relamped r1 door slide light. operation check good. nature of condition : no test precautionary procedure : none part name : light part condition : inoperative,No
15,"horizontal pressure web upper surface cracked at edge of stiffening bead bs 664, left butt line 32. repaired web iaw srm.",No
16,right side angle stiffener cracked at bs 663 both lower inboard and outboard fastener holes. right & right angle iaw srm & dwg.,No
17,right hand main landing gear forward bulkhead at bs 540 vapor barrier cracked in two ( 2 ) locations. if additional defects are noted ; contact service engineering. if no defects are noted re apply speed tape a ) repetitive action required complied with ; no additional damage or deterioration noted. ok to continue service in accordance with reference ea-07683,No
18,"forward cargo bay gusset cracked at bs 500d, stringer 19r. right & right the gusset iaw srm and dwg. nature of condition : other precautionary procedure : none part name : gusset part condition : cracked",No
19,"forward cargo bay gusset cracked at bs 500d, stringer 19r. right & right the gusset iaw srm and dwg. nature of condition : other precautionary procedure : none part name : gusset part condition : cracked",No
20,"forward cargo bay gusset cracked at bs 500d, stringer 19r. right & right the gusset iaw srm and dwg. nature of condition : other precautionary procedure : none part name : gusset part condition : cracked",No
21,"cabin frame had chafing damage at bs 360, str 8r. repaired frame iaw srm.",No
22,"aircraft was grounded : mild smell of dirty sock on takeoff and approach. smell went away at cruise and after landing. maintenance accomplished job card 08l00021001, smoke odor fume initial troubleshooting. no odor noted. as a precaution air recirculation filters we replaced per amm 21-25-01.",No
23,inspection type : 3caft cargo floor vertical stiffener at sta 1841 & left butt line 31 is cracked. ( minor ),No
24,"right inboard seat track rbl 22, bs 200 - 256, has areas of corrosion. blended the seat track, and found areas out of limits. a new seat track was installed iaw srm 53-20-52-2r. nature of condition : other precautionary procedure : none part name : seat track part condition : corroded",No
25,cabin frame at sta 500c left frame cracked between str 8 and str 9 in ref ea 5310-04716 rev i op 2. repaired sta 500c left frame iaw ea 5310-04716 rev 1. op 02. verified inspection.,No
26,"during inspection found 2 each cracks found on upper forward bulkhead in left main landing gear wheel well. maintenance repaired per srm 57-10-10, repair 3, alternative rep 2. nature of condition : other precautionary procedure : none part name : bulkhead part condition : cracked",No
27,"during inspection found 2 each cracks found on upper forward bulkhead in left main landing gear wheel well. maintenance repaired per srm 57-10-10, repair 3, alternative rep 2. nature of condition : other precautionary procedure : none part name : bulkhead part condition : cracked",No
28,"aircraft was not grounded. 1l slide fell out of housing while door was being opened. re installed dislodged slide pack, per amm 25-66-01.",No
29,l1 door had a loud squeal during flight. accomplished an inspection and found the door seal detached from the frame. secured the l1 door seal and air leak and seal contact inspection iaw 52-09-02-792-017. found satisfactory.,No
30,forward entry slide velcro cover loose. repositioned slide deploy handle cover iaw amm.,No
