Id,Text,Label
1,pda 3 left horizontal stab - seal fwd of elevator damaged.  part of seal missing. pic replaced elevator seal assy.,No
2,during girt bar lube/insp found fwd rt door fwd frame mid stop fitting bearing plate missing. replaced bearing plate per  b757 amm 52-11. op cks ok.,No
3,r1 door slide armed light press to test is broken. forward to mel. replaced r1 door slide light assembly and installed m issing spring. mco/placard removed. system operation is normal.,No
4,"after takeoff passing 1000'', 5 in succession loud bangs with heavy shutters.  engine indications appeared normal and the re was no yaw associated with the bang/shuttering.  during nr 2 engine inlet and exhaust inspection found left hand fan  stator aft inner segement panel at 11:00 position blew off and departed aircraft, left t/r half damaged as well.  t/r da mage is a gouge on interior wall about 9:00 position.  gouge is approximately 6"" long by 5"" wide and into the honey comb  structure.   pictures of damage attached.  reverser r & r on separate write up.  wri 78-30/0645.  checked ecu 2a and ec u 2b, no current faults and no faults stored in fault review.  installed missing nr 2 fan stator inner aft liner segment",Yes
5,rt wing leading edge panel underlying structure cracked at upper aft outboard corner of panel forward of the corner at h ole 4.  repaired skin per ea.,No
6,rt wing leading edge panel underlying structure cracked at upper aft outboard corner of panel forward of the corner at h ole 5.  repaired skin per ea.,No
7,rt wing leading edge panel underlying structure cracked at upper aft outboard corner of panel forward of the corner at h ole 7.  repaired skin per ea.,No
8,forward entry door escape slide; missing stop release from girt bar. stop release on fwd side broken/missing pieces. / [ 01] installed fwd entry escape slide stop release on girt bar per amm 25-66-01.,Yes
9,left wing; t/e upper shelf panel just aft of pylon; mid seal retainer on fwd side cracked.<[01] removed and replaced sea l retainer bracket on left wing t/e upper shelf panel just aft of pylon in ref to srm 51-40-02,No
10,"aircraft was not grounded: lower emergency exit panel on flight deck door has a broken strap. reinstalled lower emergenc y exit panel flight deck door strap iaw ipc 52-51-51, ops ck good.",No
11,"ea 7830-02252 rev a. during thrust reverser inspection found nr 2 engine i/b t/r nr9 cascade broken- missing and support  ring broken with parts missing. ref st-eng n/r 0065467. removed and installed nr 2 eng i/b t/r cascades segments iaw am m 78-31-05-404, discplaced and installed lower heat shield nr 2 eng i/b t/r to fom iaw eng manual rb211 78-31-25 removed  a nd installed nr 2 eng i/b t/r support ring iaw amm 78-31- 28-004, 78-31-28-404. work was accomplished on st-eng n/r 0 06546 7 and inspected.",Yes
12,"pda 2 right pack exhaust diffuser duct l-angle cracked and partially missing at 12 o-clock position. photo added photo -  ipc 21-51-03-06a item 35 correct nomenclature is ""door stop"" (l-angle)",Yes
13,"crew reports that the left overwing escape door made loud humming/vibration noise in flight lockng log captain stated th at there was no actual vibration with the sound additional info - crew reports that there was no squeal at and that it s tarted in cruise. no noise during climb out and the anytime when the noise was present. sound was not constant, it would  start and stop momentarily. repositioned and sealed leading  edge seal. recondition sealant in  all gaps and joints an  panel. unlocked log pages for updates. during inspection of upper wing fairings, found panel 191fl forward attach screw  bottomed out and not securing panel. also leading edge seal on panel 191fl unsecure and out of position. resecured forwa",No
14,rt wing leading edge panel underlying structure cracked at upper aft outboard corner of panel inboard of corner at hole  10.  repaired skin per ea.,No
15,rt wing leading edge panel underlying structure cracked at upper aft outboard corner of panel inboard of corner at hole  2.  repaired skin per ea.,No
16,rt wing leading edge panel underlying structure cracked at upper aft outboard corner of panel inboard of corner at hole  4.  repaired skin per ea.,No
17,rt wing leading edge panel underlying structure cracked at upper aft outboard corner of panel inboard of corner at hole  6.  repaired skin per ea.,No
18,aft service door escape slide missing forward clip on side container / replaced clip per s.i.p should was not opened,Yes
19,aft service door girt bar hangs down too low / reposition aft service door emergency escape slide assy per amm 25-66-01,No
20,"aircraft was grounded: forward cargo floor panel cracked, aft of door, 2nd from right wall. 122lf panel 7877131-3. **sup plemental report required** (open)",No
21,aircraft was grounded: row 18 left emergency seat light assembly missing back plate and hardware. installed missing emer gency light escape path light closeout at row 18abc per cmm 25-23-67.,Yes
22,pda 3 left pack exhaust diffuser door stop (l-angle) cracked & missing a section entire length -- see photo photo added  parts added ref ipc 21-51-03-06a and ipc 21-51-03-05a,Yes
