Id,Text,Label
1,"aircraft was grounded: on take off roll upon engaging togo autothrottles disengaged and take off configuration warning s ounded, rejected  take off at approximately 45 / knots. maintenance deterined that the speed brake takeoff warning switc h was not engaging until handle was all the way down flat against stop. adjusted switch and accomplished a satisfactoryo perational check per amm 31-51-03.(aala202007279013) ithe left aoa sensor was vertical 180 degrees and the right aoa sen sor was horizontal 90 degrees. replaced the left hand (aala20200729042) and right hand  (aala20200729043) angle of attac k senors per amm 34-21-05. a satisfactory operational check was accomplished.",Yes
2,"aircraft was grounded: on take off roll, power was set to 40% n1 for engine stabilization, then advanced to take off pow er. a moment later, take off configuration warning sounded and take off was aborted. abort was low speed. after clearing  runway, noted flap asymmetry (left flap was below flaps 5 index). also, mach trim fail light came on and management com puter and flight control annunciator lights were illuminated. removed and replaced left (aala202105269012) and right fla p position transmitters per amm 27-58-01, all required tests check good. also replaced integrated flight systems accesso ry unit (aala202105279004) per amm 22-11-37.",Yes
3,"aircraft grounded - aborted takeoff - engine no. 1 would not reach take-off thrust, stalled at 85% n1. low speed rejecte d take-off at 70 kias (second event). removed and replaced hmu (hydromechanical unit), engine 1, per job card 08l4007300 1, operational check normal. removed and replaced fuel pump (aala202007129009), engine 1, per amm 73-11-01-400-801, oper ational check good. [see aala202007109002 for original event.]",Yes
4,"aircraft was grounded: on take off roll, power was set to 40% n1 for engine stabilization, then advanced to take off pow er. a moment later, take off configuration warning sounded and take off was aborted. abort was low speed. after clearing  runway, noted flap asymmetry (left flap was below flaps 5 index). also, mach trim fail light came on and management com puter and flight control annunciator lights were illuminated. removed and replaced left and right (aala202105279003) fla p position transmitters per amm 27-58-01, all required tests check good. also replaced integrated flight systems accesso ry unit (aala202105279004) per amm 22-11-37.",Yes
5,"aircraft was grounded: on take off roll, power was set to 40% n1 for engine stabilization, then advanced to take off pow er. a moment later, take off configuration warning sounded and take off was aborted. abort was low speed. after clearing  runway, noted flap asymmetry (left flap was below flaps 5 index). also, mach trim fail light came on and management com puter and flight control annunciator lights were illuminated. removed and replaced left (aala202105269012) and right (aa la202105279003) flap position transmitters per amm 27-58-01, all required tests check good. also replaced integrated fli ght systems accessory unit per amm 22-11-37.",Yes
6,"during take-off roll, capt?s seat rolled back. aborted take-off. as a side note , brake temps went to 7 and 8?s due to t he aborted take-off.aircraft back to block and grounded by maintenance. maintenance replaced broken spring on horizontal  adjustment lever. ops checks normal iaw b767 amm 25-11-01. complied with high energy stop insp. iaw b767 amm 05-51-14.  found #6 main tire partially deflated. no other damage noted. removed and replaced #5 & #6 main tire/wheel assys. iaw b7 67amm 32-45-01. aircraft returned to service.",Yes
7,"ship 3603 - ato -during takeoff roll the right engine stalled and flames were reported from tailpipe. crew aborted takeo ff and shutdown the right engine. corrective action: boroscope inspection revealed hpc damage. maintenance replaced the  right engine, aircraft returned to service.",Yes
8,aircraft was grounded: rejected take off at 80 knots fwd entry door rto engaged. (auto brake). master caution and forwar d entry door light came on. found forward entry door switch shim bracket very loose replaced rivets accomplished forward  entry door switch adjustment and test operations checks good.,Yes
9,"ship 6710- ato - performed rejected t/o at approx 65kts due to right engine not responding to throttle movement. crew re ported both engines operated normally on taxi out. corrective action: replaced the fuel control unit and following check  out, returned the aircraft to service.",Yes
10,"28.05.2021 23:18 rejected takeoff due to l pack light on in takeoff roll.  aircraft rejected takeoff at 30 knots due to  left pack light on in takeoff roll when advanced thrust levers light extinguished after trip reset. maintenance person nel performed revision to left air conditioned pack, detecting that this report was deferred previously by mel 21-44-c c at d. the wo?s 7497338 and 7498042 were issued to perform permanent repair. left pack light turned on without master cau tion recall 215 201 41, comes on when advancing t/l to takeoff thrust; fan bypass check valve was missing and it was def erred by mel 21-44-c, cat d and left plenum assy primary heat exchanger was replaced iaw amm 21-51-03, tested correct.",Yes
11,"during takeoff roll, eicas alert,  nr 2 engine thrust reverser message. aborted takeoff, approx 70 knots indicated.  cmc  shows eng 2 reverser pressure sw fail, msg no. 78353. applied mel 78-31-01a, cat ''c'',  accomplished high energy stop in spection, no damage found iaw amm 05-51-10-202-001.",Yes
12,"during takeoff roll on runway 22r at approx 100 knots, we could feel a vibration from the front of aircraft. at approx 1 20 knots we heard a loud thud followed by stronger vibration. during this time the aircraft pulled left. we aborted the  takeoff. tower advised pieces of rubber was found on runway. grounded - yes. removed and replaced both nose wheel tires  assys ref b737-900 amm 32-45-21 due to aborted takeoff (l) nose wheel tire shredded.",Yes
13,"aircraft was grounded: pilot reports normal preflight inspection, start, taxi and take off roll. after 80 kias callout,  fo reported left pull on aircraft. both crew members felt / heard something mechanical on left side of aircraft. suspect  blown tire. ca aborted take off at 135 kias, with aircraft attempting to pull left during abort. ca using rudder to ret urn to centerline. abort normal. maintenance reports #1/#2 brake seized causing aircraft to pull left. removed & replace d # mlg brake assembly iaw amm 32-41-41.",Yes
14,"aircraft was grounded: pilot reports on take off got master caution air conditioning and pack light, rejected take off a t 40 knots due to right pack light. maintenance accomplished fim 21-62-00-810-801 on both controllers. removed and repla ced r/h pack controller iaw amm 21-20-00. ops check good.",Yes
15,"aircraft was grounded: high speed rejected takeoff at 101 knots due to indicated air speed disagree on both captain and  first officer side. captain airspeed 101 knots, first officer airspeed 95 knots. removed and replaced right pitot probe  (aala202202074944) per amm 34-11-01 operations check good with leak/heat removed and replaced right air data module per  amm 34-21-04. operations check good leak check good.",Yes
