Id,Text,Label
1,"ata 53-40, seat track found crack near sta 1740 rbl 99. cracked seat track repaired as per srm 53-00-52-2r-6 repair 6 rev 83 and en 1118-18 rev 0.",Yes
2,aircraft in base maintenance : corrosion on aft cargo compartment floor tie down track at bs 747 and rbl 13. repaired track per srm 53-00-53-2r-3.,Yes
3,corrosion level : 2 seat track right cabin seat track at rbl 88 sta 1197-1208 found with corrosion out of limits repaired per srm 53-00-52 nature of condition : other precautionary procedure : none part name : seat track part condition : corroded,Yes
4,md - sta 746 rbl 11 seat track slot hole found corrosion crack.,Yes
5,"during a crack inspection, found a crack just aft of station 1654.5 along str 13ar. the crack is approximately 6 and beyond the 5 crack limit. repaired per srm 53-80-01 repair 7",Yes
6,evidence of corrosion on upper chord of main deck floor beam at sta 2360 rbl 53,Yes
7,"( aircraft 5648, low pressure 1524311 ) awr. hidden corrosion. cracked by intergranular corrosion on left inbd seat track sta 550 at passenger cabin floor structure. corrective action : corrosion level 2. seat track was repaired per b757-200 srm 53-00-52-2r-1 repair 1.",Yes
8,md - sta 2180 to 2200 rbl 11 below seat track slot hole found corrosion crack.,Yes
9,"lt horizontal stabilizer rib cracked at sta 129.5 on the 3rd vertical stiffener, verified crack with ndt surface inspection. repaired cracked rib, iaw srm 55-10-09-2r-4.",Yes
10,"right wing, rear spar upper structure and aft support fitting at rs 222.3 and 218.6 fastener hole with crack indications. repaired right wing rear spar upper chord section from bbl70.85 to rss294 due to crack iaw b737-400 srm 57-20-10 fig202 repair 4 with deviations as given on eo-2016-2116-r00 and boeing message coo-sof-16-0008-01c. repaired right wing rear spar forward hlg fitting due to dulled holes iaw eo-2016-2075-roo and boeing message coo-sof-16-0003-o5b. repaired right wing upper skin fastener holes te section at rss268 due to crack indication iaw coopesa eo-2016-2079-r00 nature of condition : other precautionary procedure : none part name : spar part condition : cracked",Yes
11,"main cabin floor beam, crack in upper surface at fs 324 and approximately rbl 55. removed corrosion iaw srm 51-10-02-0g, evaluat ed area original mat. ( note : no crack found.",Yes
12,cabin floor panel 223af is corroded in several areas and cracked at corner. blended corrosion and found to be within limits iaw srm 53-20-50-01. stop drilled the crack iaw srm 53-00-00-2r-1. installed repair doubler iaw srm 53-00-00-2r-1 fig 201. nature of condition : other precautionary procedure : none part name : floor panel part condition : cracked,Yes
13,* corrosion * cabin seat track sta 520 at left butt line 45.50 upper crown with corrosion ; cut out seat track at left butt line 45.50 sta 4 91-521 ref srm 53-00-52-2r-4 step 4b ; inspected seat track installation ; inspected located and drill splice ; installed floo right panels 231vf and 231lf at main cabin in ref b737-700 amm 53-21 - ; installed seat track from sta 490 to sta 521 lbl45.50 ref b737-700 srm 53-00-52-2r-4 step 4c ( 2 ) left ; late entry : removed ewis protection at main cabin from sta 460-521 lbl-10-l bl-60 ref b 737-700 aam 20-60-07-913-801 ; located and drilled new sea track and so lace at lbl-45.50 ref b737-700 srm 53-0 0-52-2r-4 step 4 ( 2 ) e thru h; ok to install seat track ; ok to treat and prime holes ; performed ut thickness insp on reworke,Yes
14,"crack indication found hole position 1 bs 727b, rbl 45.50 floor support flange outboard hole ref aar nr 99867430 preformed appendix a part a of ea 5320-02076 rev left op004 and installed repair at seat track sta 727b rbl 45.50 outboard flange iaw srm 5 3-40-51 repair 1.",Yes
15,md sta 1510 - 1550 rbl 11 seat track found corrosion crack.,Yes
16,( log 1377182 ) during inspection found crack in center wing rear spar vapor web on rbl 40.00. repaired crack ref b737 srm 57-10-10 repair 4.,Yes
17,"during inspection found passenger compartment station 328 rbl 30, floor beam has corrosion. maintenance removed corrosion & repaired floor beam at passenger compartment station 328 bl 0 to rbl 30 iaw srm 53-10-51 repair 7. nature of condition : other precautionary procedure : none part name : floor beam part condition : corroded",Yes
18,left wing landing gear support beam end fitting has crack corrosion indication on aft side,Yes
19,md sta 33.99 seat track support join fitting found cracked. seat track join fitting replaced iaw srm 57-10-02 and dwg 69b14267.,Yes
20,floor beam upper chord at sta 2140 rbl 89 has corrosion. nature of condition : other precautionary procedure : none part name : floor beam part condition : corroded,Yes
21,"aft cargo pit floor track support is cracked in radius above attach points at rbl 16 sta 727e, 727g, 727i, and 727j. gro unded - yes. cut out and repaired damaged section of track iaw srm 53-00-53-2r-3.",Yes
22,left horizontal stabilizer inspar rib assembly #4 ( stabilizer sta. 120.30 ) stiffener #4 ( most aft ) cracked at lower flange angle of stiffener repaired horizontal stabilizer rib crack iaw srm 55-10-09-2r-5.,Yes
23,evidence of corrosion on bottom of upper chord of main deck floor beam sta 980 rbl 24,Yes
24,crack inspar rib located stabilizer sta 129.50 and 18 inch from rear spar at right horizontal stabilizer. evaluated inspar rib left ocated stabilizer sta 129.50 and 18 inch from rear spar at right horizontal stabilizer and crack not is permitted iaw srm 55-10-0 9-1a-1 allowable damage 1 paragraph 4a ( 1 ). inspar rib must be repaired inspected evaluation ok repaired inspar rib localizer. sta 129.50 right horizontal stabilizer iaw b737-700 srm 55-10-09-2r-4 repair 4 measure of crack l=0.435. repaired in single point adapter right rib localizer. sta 129.50 and 18 inch from rear spar at right horizontal stabilizer iaw srm 55-10-09-2r-4 repair 4.,Yes
25,evidence of corrosion on main deck floor beam upper chord sta 1800 rbl 98.,Yes
26,main cargo deck floor beam upper chord at approximately sta 800 rbl 90 has corrosion on top side of chord,Yes
27,"ata 53-40, sta 705 rbl 75 seat track found crack. cracked seat track repaired as per srm 53-00-52-2r-13, repair 13, rev 83.",Yes
